avg_winning,avg_diff,loss_train,step_idx,avg_score
0.54,0.02,0.0,109000,0.55002
0.495,0.005,0.0,110000,0.50299
0.535,0.025,0.0,111000,0.54475
0.54,0.01,0.0,112000,0.55028
0.47,0.015,0.0,113000,0.47828
0.51,0.02,0.0,114000,0.51999
0.56,0.015,0.0,115000,0.57103
0.535,0.01,0.0,116000,0.54533
0.535,0.005,0.0,117000,0.54143
0.57,0.005,0.0,118000,0.57861
0.54,0.015,0.0,119000,0.55149
0.59,0.04,0.0,120000,0.60183
0.53,0.02,0.0,121000,0.5377
0.585,0.01,0.0,122000,0.59422
0.52,0.01,0.0,123000,0.52852
0.51,0.02,0.0,124000,0.51945
0.52,0.01,0.0,125000,0.52948
0.575,0.03,0.0,126000,0.58399
0.57,0.01,0.0,127000,0.57851
0.555,0.015,0.0,128000,0.56259
0.59,0.0,0.0,129000,0.59819
0.56,0.02,0.0,130000,0.56994
0.57,0.01,0.0,131000,0.58007
0.56,0.02,0.0,132000,0.56987
0.555,0.025,0.0,133000,0.56456
0.575,0.03,0.0,134000,0.58407
0.58,0.03,0.0,135000,0.58693
0.54,0.0,0.0,136000,0.54737
0.585,0.015,0.0,137000,0.59551
0.53,0.005,0.0,138000,0.53934
0.56,0.015,0.0,139000,0.57027
0.6,0.01,0.0,140000,0.61168
0.585,0.03,0.0,141000,0.5959
0.56,0.015,0.0,142000,0.5678
0.585,-0.005,0.0,143000,0.59536
0.56,0.015,0.0,144000,0.56956
0.555,0.01,0.0,145000,0.56619
0.585,0.015,0.0,146000,0.5964
0.55,0.015,0.0,147000,0.56144
0.61,0.035,0.0,148000,0.62152
0.56,0.015,0.0,149000,0.57085
0.57,0.02,0.0,150000,0.57976
0.57,0.03,0.0,151000,0.58091
0.585,0.02,0.0,152000,0.59553
0.565,0.015,0.0,153000,0.57522
0.54,0.025,0.0,154000,0.54827
0.595,0.03,0.0,155000,0.60566
0.595,0.015,0.0,156000,0.60646
0.555,0.01,0.0,157000,0.56546
0.575,0.04,0.0,158000,0.5855
