avg_score,loss_train,step_idx,avg_winning,avg_diff
0.57382,0.0,230000,0.56,0.02
0.59026,0.0,231000,0.575,0.015
0.53861,0.0,232000,0.525,0.025
0.54384,0.0,233000,0.53,0.025
0.63533,0.0,234000,0.62,0.02
0.594,0.0,235000,0.58,0.025
0.61464,0.0,236000,0.6,0.03
0.65093,0.0,237000,0.635,-0.01
0.5499,0.0,238000,0.535,0.025
0.60487,0.0,239000,0.59,0.02
0.62553,0.0,240000,0.61,0.02
0.63093,0.0,241000,0.615,0.03
0.61097,0.0,242000,0.595,0.02
0.65553,0.0,243000,0.64,0.03
0.65777,0.0,244000,0.64,0.01
0.65784,0.0,245000,0.64,0.035
0.62224,0.0,246000,0.605,0.03
0.61694,0.0,247000,0.6,0.01
0.65293,0.0,248000,0.635,0.03
0.62234,0.0,249000,0.605,0.01
0.61601,0.0,250000,0.6,0.015
