avg_winning,step_idx,avg_score,avg_diff,loss_train
0.436,299000,0.45262,0.019,0.0
0.433,300000,0.44978,0.011,0.0
0.455,301000,0.47227,0.01,0.0
0.436,302000,0.45415,0.011,0.0
0.45,303000,0.46738,0.013,0.0
0.434,304000,0.45081,0.012,0.0
0.434,305000,0.44946,0.013,0.0
0.432,306000,0.44906,0.012,0.0
0.466,307000,0.48301,0.012,0.0
0.445,308000,0.46119,0.013,0.0
0.448,309000,0.46493,0.012,0.0
0.43,310000,0.44784,0.011,0.0
0.426,311000,0.44431,0.01,0.0
0.431,312000,0.4499,0.014,0.0
0.446,313000,0.46425,0.008,0.0
0.445,314000,0.46268,0.01,0.0
0.443,315000,0.46145,0.008,0.0
0.44,316000,0.45772,0.017,0.0
0.442,317000,0.45991,0.009,0.0
0.437,318000,0.45629,0.018,0.0
0.435,319000,0.4538,0.016,0.0
0.446,320000,0.46449,0.008,0.0
0.429,321000,0.44814,0.014,0.0
0.43,322000,0.44872,0.002,0.0
0.443,323000,0.46171,0.008,0.0
0.434,324000,0.45297,0.005,0.0
0.425,325000,0.44497,0.014,0.0
0.451,326000,0.47062,0.01,0.0
0.419,327000,0.43828,0.011,0.0
0.439,328000,0.45931,0.012,0.0
0.425,329000,0.44485,0.012,0.0
0.445,330000,0.46314,0.013,0.0
0.428,331000,0.44542,0.012,0.0
0.445,332000,0.46172,0.014,0.0
0.442,333000,0.4591,0.016,0.0
0.424,334000,0.44076,0.005,0.0
0.42,335000,0.43759,0.008,0.0
0.437,336000,0.45462,0.014,0.0
0.414,337000,0.43177,0.01,0.0
