loss_train,avg_diff,avg_winning,avg_score,step_idx
0.0,0.017,0.485,0.53362,78000
0.0,0.021,0.496,0.54427,79000
0.0,0.016,0.49,0.53821,80000
0.0,0.016,0.484,0.53199,81000
0.0,0.017,0.489,0.53683,82000
0.0,0.014,0.492,0.53941,83000
0.0,0.026,0.482,0.53019,84000
0.0,0.02,0.501,0.54839,85000
0.0,0.02,0.496,0.54315,86000
0.0,0.012,0.49,0.53829,87000
0.0,0.02,0.502,0.54984,88000
0.0,0.014,0.502,0.55094,89000
0.0,0.021,0.5,0.54829,90000
0.0,0.022,0.499,0.54713,91000
0.0,0.019,0.492,0.54046,92000
0.0,0.017,0.483,0.53132,93000
0.0,0.014,0.479,0.52705,94000
0.0,0.022,0.481,0.53016,95000
0.0,0.013,0.491,0.53949,96000
0.0,0.023,0.498,0.54571,97000
0.0,0.015,0.483,0.53089,98000
0.0,0.017,0.498,0.54631,99000
0.0,0.023,0.497,0.54571,100000
0.0,0.017,0.498,0.54705,101000
0.0,0.022,0.503,0.55211,102000
0.0,0.02,0.465,0.51252,103000
0.0,0.009,0.457,0.50437,104000
0.0,0.019,0.491,0.53866,105000
0.0,0.017,0.491,0.53945,106000
0.0,0.018,0.492,0.5415,107000
0.0,0.017,0.481,0.52959,108000
0.0,0.014,0.493,0.54184,109000
0.0,0.018,0.488,0.53608,110000
0.0,0.025,0.485,0.53316,111000
0.0,0.023,0.489,0.53738,112000
0.0,0.026,0.466,0.51399,113000
0.0,0.022,0.493,0.54189,114000
0.0,0.026,0.492,0.54122,115000
0.0,0.008,0.493,0.54199,116000
0.0,0.025,0.488,0.53718,117000
0.0,0.017,0.48,0.52965,118000
0.0,0.024,0.484,0.53287,119000
0.0,0.008,0.482,0.5309,120000
0.0,0.017,0.472,0.52053,121000
0.0,0.013,0.485,0.53341,122000
0.0,0.019,0.486,0.5352,123000
0.0,0.022,0.475,0.52367,124000
0.0,0.014,0.477,0.52611,125000
0.0,0.019,0.483,0.53116,126000
0.0,0.023,0.492,0.54028,127000
0.0,0.018,0.478,0.52576,128000
0.0,0.013,0.483,0.53205,129000
0.0,0.016,0.475,0.52274,130000
0.0,0.023,0.474,0.52231,131000
0.0,0.021,0.479,0.5271,132000
0.0,0.021,0.489,0.53736,133000
0.0,0.023,0.485,0.53448,134000
0.0,0.025,0.497,0.54602,135000
0.0,0.025,0.478,0.52668,136000
0.0,0.021,0.474,0.52315,137000
0.0,0.02,0.483,0.53223,138000
0.0,0.028,0.484,0.53277,139000
0.0,0.022,0.488,0.53723,140000
0.0,0.021,0.489,0.53772,141000
0.0,0.019,0.478,0.52698,142000
0.0,0.016,0.473,0.52142,143000
0.0,0.006,0.481,0.52992,144000
0.0,0.014,0.482,0.53097,145000
0.0,0.022,0.485,0.53325,146000
0.0,0.022,0.483,0.53193,147000
0.0,0.014,0.491,0.53999,148000
0.0,0.015,0.473,0.52204,149000
0.0,0.016,0.483,0.53107,150000
0.0,0.028,0.479,0.52813,151000
0.0,0.022,0.478,0.52627,152000
0.0,0.025,0.472,0.52027,153000
0.0,0.019,0.496,0.54406,154000
0.0,0.013,0.5,0.5481,155000
0.0,0.013,0.473,0.52032,156000
0.0,0.011,0.486,0.53382,157000
0.0,0.015,0.459,0.50618,158000
0.0,0.021,0.475,0.52317,159000
0.0,0.014,0.473,0.52131,160000
0.0,0.005,0.473,0.52062,161000
0.0,0.022,0.47,0.51797,162000
0.0,0.012,0.463,0.51034,163000
0.0,0.003,0.483,0.53102,164000
0.0,0.02,0.467,0.51415,165000
0.0,0.027,0.479,0.5261,166000
0.0,0.026,0.476,0.52287,167000
0.0,0.014,0.466,0.51314,168000
0.0,0.023,0.464,0.51101,169000
0.0,0.018,0.472,0.52007,170000
0.0,0.022,0.475,0.52205,171000
0.0,0.017,0.485,0.53324,172000
0.0,0.016,0.491,0.53926,173000
0.0,0.015,0.482,0.53016,174000
0.0,0.02,0.482,0.52929,175000
0.0,0.01,0.487,0.5343,176000
0.0,0.017,0.487,0.53436,177000
0.0,0.026,0.487,0.5339,178000
0.0,0.023,0.5,0.54613,179000
0.0,0.024,0.494,0.54085,180000
0.0,0.016,0.495,0.54156,181000
0.0,0.011,0.468,0.51271,182000
0.0,0.013,0.471,0.51608,183000
0.0,0.015,0.492,0.53806,184000
0.0,0.01,0.471,0.51713,185000
0.0,0.017,0.473,0.51837,186000
0.0,0.018,0.487,0.53371,187000
0.0,0.017,0.479,0.52538,188000
0.0,0.017,0.47,0.51608,189000
0.0,0.024,0.482,0.5273,190000
0.0,0.015,0.47,0.51615,191000
0.0,0.019,0.472,0.51796,192000
0.0,0.017,0.46,0.50559,193000
0.0,0.014,0.478,0.52387,194000
0.0,0.016,0.479,0.52574,195000
0.0,0.015,0.493,0.5396,196000
