avg_score,step_idx,avg_winning,avg_diff,loss_train
0.60763,364000,0.586,0.012,0.0
0.6029,365000,0.581,0.005,0.0
0.62666,366000,0.606,0.005,0.0
0.62858,367000,0.606,0.006,0.0
0.60801,368000,0.587,0.006,0.0
0.60213,369000,0.581,0.01,0.0
0.59269,370000,0.571,0.009,0.0
0.60454,371000,0.583,0.003,0.0
0.61257,372000,0.591,0.007,0.0
0.61069,373000,0.588,0.006,0.0
0.62526,374000,0.603,0.008,0.0
0.60853,375000,0.588,0.007,0.0
0.61342,376000,0.593,0.009,0.0
0.6206,377000,0.599,0.009,0.0
0.61685,378000,0.597,0.009,0.0
0.60332,379000,0.583,0.005,0.0
0.62214,380000,0.602,0.01,0.0
0.60804,381000,0.587,0.002,0.0
0.62065,382000,0.6,0.008,0.0
0.612,383000,0.59,0.007,0.0
0.60026,384000,0.58,0.007,0.0
0.62241,385000,0.602,0.011,0.0
0.61024,386000,0.591,0.008,0.0
0.60422,387000,0.585,0.012,0.0
0.60996,388000,0.589,0.004,0.0
0.60823,389000,0.586,0.008,0.0
0.59157,390000,0.571,0.005,0.0
0.61607,391000,0.595,0.006,0.0
0.6193,392000,0.598,0.005,0.0
0.60735,393000,0.587,0.004,0.0
0.62473,394000,0.604,0.008,0.0
0.61282,395000,0.592,0.006,0.0
0.62939,396000,0.609,0.005,0.0
0.62891,397000,0.609,0.005,0.0
0.63942,398000,0.618,0.01,0.0
0.60402,399000,0.582,0.002,0.0
0.60315,400000,0.581,0.008,0.0
0.61867,401000,0.597,0.007,0.0
0.61553,402000,0.594,0.006,0.0
0.61712,403000,0.596,0.006,0.0
0.6231,404000,0.602,0.01,0.0
0.60796,405000,0.586,0.009,0.0
0.60196,406000,0.58,0.008,0.0
0.61254,407000,0.591,0.008,0.0
0.60815,408000,0.587,0.006,0.0
0.59894,409000,0.58,0.005,0.0
0.63188,410000,0.612,0.007,0.0
0.61479,411000,0.593,0.006,0.0
0.62076,412000,0.599,0.009,0.0
0.60578,413000,0.584,0.012,0.0
0.60117,414000,0.58,0.007,0.0
0.62108,415000,0.599,0.005,0.0
0.60012,416000,0.579,0.007,0.0
0.62292,417000,0.602,0.011,0.0
0.60659,418000,0.586,0.004,0.0
0.59633,419000,0.575,0.009,0.0
0.59795,420000,0.577,0.006,0.0
0.5816,421000,0.561,0.009,0.0
0.60416,422000,0.582,0.006,0.0
0.60672,423000,0.586,0.009,0.0
0.61512,424000,0.597,0.008,0.0
0.62335,425000,0.604,0.007,0.0
0.63865,426000,0.617,0.006,0.0
0.60642,427000,0.586,0.007,0.0
0.61393,428000,0.593,0.012,0.0
0.63188,429000,0.611,0.008,0.0
0.62506,430000,0.603,0.007,0.0
0.61057,431000,0.589,0.008,0.0
0.59559,432000,0.574,0.007,0.0
0.60247,433000,0.582,0.01,0.0
0.5917,434000,0.572,0.009,0.0
0.6129,435000,0.593,0.008,0.0
0.60695,436000,0.585,0.007,0.0
0.61699,437000,0.597,0.009,0.0
0.60241,438000,0.583,0.006,0.0
0.59698,439000,0.577,0.008,0.0
0.61041,440000,0.59,0.008,0.0
0.62355,441000,0.603,0.004,0.0
0.61079,442000,0.59,0.01,0.0
0.62137,443000,0.6,0.007,0.0
0.59606,444000,0.575,0.006,0.0
0.59208,445000,0.571,0.006,0.0
0.59555,446000,0.575,0.011,0.0
0.60416,447000,0.584,0.005,0.0
0.61021,448000,0.589,0.014,0.0
0.61306,449000,0.592,0.01,0.0
0.61509,450000,0.594,0.009,0.0
0.60504,451000,0.584,0.001,0.0
0.5862,452000,0.566,0.005,0.0
0.6185,453000,0.6,0.009,0.0
0.59647,454000,0.576,0.002,0.0
0.6016,455000,0.583,0.006,0.0
0.58976,456000,0.57,0.007,0.0
0.60737,457000,0.587,0.01,0.0
0.61061,458000,0.591,0.006,0.0
0.60247,459000,0.582,0.003,0.0
0.59936,460000,0.579,0.006,0.0
0.5829,461000,0.562,0.007,0.0
0.5948,462000,0.573,0.008,0.0
0.58617,463000,0.565,0.008,0.0
0.60154,464000,0.581,0.009,0.0
0.60081,465000,0.581,0.01,0.0
0.59333,466000,0.573,0.004,0.0
0.6116,467000,0.59,0.001,0.0
0.5913,468000,0.57,0.009,0.0
0.59822,469000,0.577,0.009,0.0
0.59559,470000,0.575,0.007,0.0
0.60845,471000,0.588,0.007,0.0
0.61412,472000,0.594,0.008,0.0
0.61146,473000,0.592,0.008,0.0
0.61159,474000,0.591,0.006,0.0
0.60242,475000,0.581,0.007,0.0
0.61981,476000,0.6,0.005,0.0
0.61247,477000,0.593,0.009,0.0
0.61199,478000,0.592,0.006,0.0
0.60115,479000,0.583,0.006,0.0
0.61107,480000,0.591,0.008,0.0
0.6069,481000,0.587,0.005,0.0
0.60683,482000,0.587,0.005,0.0
0.60959,483000,0.589,0.005,0.0
0.60169,484000,0.582,0.006,0.0
0.64805,485000,0.626,0.006,0.0
0.59501,486000,0.573,0.006,0.0
0.61259,487000,0.591,0.006,0.0
0.62491,488000,0.603,0.004,0.0
