loss_train,avg_diff,avg_score,step_idx,avg_winning
0.0,0.013,0.5906,379000,0.571
0.0,0.011,0.59167,380000,0.571
0.0,0.013,0.57269,381000,0.553
0.0,0.013,0.59098,382000,0.572
0.0,0.011,0.60345,383000,0.584
0.0,0.008,0.60347,384000,0.583
0.0,0.015,0.58089,385000,0.561
0.0,0.01,0.60839,386000,0.588
0.0,0.01,0.59007,387000,0.57
0.0,0.016,0.57424,388000,0.557
0.0,0.011,0.58987,389000,0.57
0.0,0.012,0.6077,390000,0.588
0.0,0.01,0.6008,391000,0.581
0.0,0.011,0.6054,392000,0.585
0.0,0.013,0.59498,393000,0.574
0.0,0.013,0.59187,394000,0.571
0.0,0.011,0.57548,395000,0.556
0.0,0.018,0.59145,396000,0.572
0.0,0.012,0.57717,397000,0.557
0.0,0.013,0.59576,398000,0.576
0.0,0.016,0.58649,399000,0.567
0.0,0.013,0.5971,400000,0.577
0.0,0.011,0.5826,401000,0.564
0.0,0.014,0.57812,402000,0.559
0.0,0.015,0.60419,403000,0.583
0.0,0.015,0.57833,404000,0.56
0.0,0.014,0.58127,405000,0.561
0.0,0.015,0.59019,406000,0.57
0.0,0.01,0.58066,407000,0.561
0.0,0.011,0.58311,408000,0.563
0.0,0.013,0.57308,409000,0.553
0.0,0.016,0.58574,410000,0.566
0.0,0.009,0.59385,411000,0.573
0.0,0.008,0.59624,412000,0.576
0.0,0.016,0.59163,413000,0.572
0.0,0.013,0.60095,414000,0.581
0.0,0.015,0.59209,415000,0.573
0.0,0.014,0.56728,416000,0.548
0.0,0.018,0.59071,417000,0.57
0.0,0.009,0.59474,418000,0.575
0.0,0.013,0.60241,419000,0.583
0.0,0.006,0.58704,420000,0.567
0.0,0.02,0.58644,421000,0.567
0.0,0.01,0.5822,422000,0.563
0.0,0.019,0.58775,423000,0.568
0.0,0.005,0.60043,424000,0.579
0.0,0.012,0.58286,425000,0.563
0.0,0.008,0.59642,426000,0.575
0.0,0.017,0.54924,427000,0.529
0.0,0.012,0.59712,428000,0.578
0.0,0.008,0.59494,429000,0.575
0.0,0.008,0.59528,430000,0.573
0.0,0.011,0.58576,431000,0.565
0.0,0.01,0.58582,432000,0.565
0.0,0.014,0.5742,433000,0.555
0.0,0.012,0.59766,434000,0.578
0.0,0.014,0.6017,435000,0.582
0.0,0.013,0.5981,436000,0.579
0.0,0.014,0.58929,437000,0.571
0.0,0.014,0.59101,438000,0.572
0.0,0.012,0.58121,439000,0.56
0.0,0.01,0.60119,440000,0.58
0.0,0.007,0.60797,441000,0.587
0.0,0.008,0.59524,442000,0.576
0.0,0.012,0.59103,443000,0.572
0.0,0.009,0.59527,444000,0.576
0.0,0.011,0.59202,445000,0.572
0.0,0.014,0.61591,446000,0.596
0.0,0.011,0.58697,447000,0.567
0.0,0.007,0.60573,448000,0.585
0.0,0.012,0.5939,449000,0.574
0.0,0.009,0.60283,450000,0.582
0.0,0.008,0.59638,451000,0.574
0.0,0.012,0.59201,452000,0.57
