avg_winning,avg_score,avg_diff,loss_train,step_idx
0.4,0.41624,0.019,0.0,259000
0.386,0.4024,0.013,0.0,260000
0.405,0.42217,0.018,0.0,261000
0.396,0.41366,0.021,0.0,262000
0.398,0.41519,0.019,0.0,263000
0.384,0.40041,0.02,0.0,264000
0.403,0.42175,0.013,0.0,265000
0.405,0.42362,0.02,0.0,266000
0.408,0.42778,0.021,0.0,267000
0.391,0.40928,0.013,0.0,268000
0.399,0.41853,0.017,0.0,269000
0.391,0.40964,0.013,0.0,270000
0.4,0.41864,0.022,0.0,271000
0.405,0.42556,0.023,0.0,272000
0.4,0.42038,0.023,0.0,273000
