avg_diff,step_idx,avg_score,avg_winning,loss_train
0.012,321000,0.60745,0.586,0.0
0.005,322000,0.59162,0.571,0.0
0.01,323000,0.60372,0.584,0.0
0.013,324000,0.60193,0.582,0.0
0.014,325000,0.59788,0.578,0.0
0.01,326000,0.57679,0.559,0.0
0.007,327000,0.5943,0.574,0.0
0.01,328000,0.60796,0.588,0.0
0.016,329000,0.59656,0.577,0.0
0.013,330000,0.59127,0.571,0.0
0.012,331000,0.59428,0.574,0.0
0.009,332000,0.5834,0.564,0.0
0.011,333000,0.59145,0.57,0.0
0.011,334000,0.60313,0.583,0.0
0.012,335000,0.5979,0.579,0.0
0.008,336000,0.60207,0.582,0.0
0.013,337000,0.57815,0.558,0.0
0.007,338000,0.59062,0.568,0.0
0.009,339000,0.60826,0.585,0.0
0.009,340000,0.57912,0.556,0.0
0.012,341000,0.58807,0.567,0.0
0.013,342000,0.61171,0.59,0.0
0.009,343000,0.60638,0.586,0.0
0.008,344000,0.59289,0.572,0.0
0.013,345000,0.61292,0.592,0.0
0.013,346000,0.58247,0.563,0.0
0.012,347000,0.59476,0.575,0.0
0.013,348000,0.60918,0.587,0.0
0.011,349000,0.58799,0.568,0.0
0.014,350000,0.60366,0.583,0.0
0.01,351000,0.60088,0.58,0.0
0.01,352000,0.60242,0.583,0.0
0.014,353000,0.60023,0.58,0.0
