avg_score,avg_winning,avg_diff,step_idx,loss_train
0.37372,0.351,0.02,375000,0.0
0.39918,0.376,0.01,376000,0.0
0.39141,0.369,0.003,377000,0.0
0.37402,0.353,0.013,378000,0.0
0.39388,0.37,0.009,379000,0.0
0.37126,0.347,0.008,380000,0.0
0.38686,0.364,0.012,381000,0.0
0.37286,0.35,0.018,382000,0.0
0.38613,0.364,0.012,383000,0.0
0.35687,0.335,0.016,384000,0.0
0.36868,0.347,0.017,385000,0.0
0.36912,0.349,0.014,386000,0.0
0.38205,0.361,0.016,387000,0.0
0.38184,0.36,0.016,388000,0.0
0.37252,0.35,0.016,389000,0.0
0.36893,0.346,0.018,390000,0.0
0.39274,0.37,0.018,391000,0.0
0.36701,0.345,0.018,392000,0.0
0.38297,0.361,0.018,393000,0.0
0.37189,0.351,0.016,394000,0.0
0.36418,0.344,0.017,395000,0.0
0.37867,0.359,0.018,396000,0.0
0.36537,0.345,0.018,397000,0.0
0.38223,0.36,0.016,398000,0.0
0.36304,0.342,0.013,399000,0.0
0.37146,0.35,0.019,400000,0.0
0.35563,0.336,0.02,401000,0.0
0.36577,0.346,0.019,402000,0.0
0.37046,0.35,0.018,403000,0.0
0.35927,0.34,0.022,404000,0.0
0.36646,0.346,0.02,405000,0.0
0.37409,0.354,0.014,406000,0.0
0.37578,0.354,0.015,407000,0.0
0.3688,0.348,0.014,408000,0.0
0.37703,0.356,0.013,409000,0.0
0.37024,0.349,0.013,410000,0.0
0.36753,0.347,0.015,411000,0.0
0.37864,0.357,0.012,412000,0.0
0.38739,0.364,0.017,413000,0.0
0.34533,0.323,0.019,414000,0.0
0.36433,0.342,0.015,415000,0.0
0.35579,0.335,0.011,416000,0.0
0.37106,0.35,0.012,417000,0.0
0.35838,0.336,0.015,418000,0.0
0.36674,0.344,0.019,419000,0.0
0.38875,0.364,0.016,420000,0.0
0.39022,0.365,0.023,421000,0.0
0.38248,0.357,0.013,422000,0.0
0.37151,0.346,0.014,423000,0.0
0.38601,0.361,0.015,424000,0.0
0.36605,0.343,0.019,425000,0.0
0.36672,0.345,0.014,426000,0.0
0.36625,0.345,0.015,427000,0.0
0.36919,0.349,0.016,428000,0.0
0.36354,0.344,0.014,429000,0.0
0.3668,0.346,0.014,430000,0.0
0.35257,0.332,0.013,431000,0.0
0.35329,0.335,0.02,432000,0.0
0.35684,0.339,0.018,433000,0.0
0.36806,0.349,0.018,434000,0.0
0.34961,0.33,0.017,435000,0.0
0.33883,0.319,0.015,436000,0.0
0.35394,0.334,0.016,437000,0.0
0.35,0.33,0.016,438000,0.0
0.36285,0.342,0.015,439000,0.0
0.36115,0.34,0.022,440000,0.0
0.36399,0.344,0.017,441000,0.0
0.36059,0.341,0.014,442000,0.0
0.35349,0.333,0.023,443000,0.0
0.36441,0.345,0.017,444000,0.0
0.34388,0.325,0.022,445000,0.0
0.36316,0.345,0.015,446000,0.0
0.34774,0.33,0.018,447000,0.0
0.36202,0.343,0.023,448000,0.0
0.3549,0.336,0.014,449000,0.0
0.35854,0.339,0.014,450000,0.0
0.35666,0.337,0.022,451000,0.0
0.38756,0.366,0.016,452000,0.0
0.39564,0.374,0.016,453000,0.0
0.3996,0.377,0.017,454000,0.0
0.40368,0.382,0.018,455000,0.0
0.38271,0.361,0.017,456000,0.0
0.40874,0.387,0.013,457000,0.0
0.40351,0.382,0.014,458000,0.0
0.40265,0.382,0.017,459000,0.0
0.40573,0.383,0.016,460000,0.0
0.40344,0.381,0.011,461000,0.0
0.3966,0.375,0.018,462000,0.0
0.4046,0.383,0.01,463000,0.0
0.41511,0.394,0.018,464000,0.0
0.42129,0.4,0.022,465000,0.0
0.42158,0.401,0.015,466000,0.0
0.44394,0.422,0.018,467000,0.0
0.42589,0.405,0.017,468000,0.0
0.43448,0.414,0.015,469000,0.0
0.43896,0.417,0.015,470000,0.0
0.43376,0.413,0.019,471000,0.0
0.44784,0.425,0.018,472000,0.0
0.45522,0.434,0.015,473000,0.0
0.43229,0.412,0.013,474000,0.0
0.42529,0.406,0.008,475000,0.0
0.42022,0.401,0.011,476000,0.0
0.44324,0.422,0.007,477000,0.0
0.43713,0.416,0.015,478000,0.0
0.45583,0.434,0.015,479000,0.0
0.45057,0.427,0.014,480000,0.0
0.44001,0.416,0.017,481000,0.0
0.46325,0.437,0.012,482000,0.0
0.45574,0.432,0.015,483000,0.0
0.46104,0.436,0.017,484000,0.0
0.45456,0.43,0.021,485000,0.0
0.44329,0.419,0.014,486000,0.0
0.47796,0.454,0.013,487000,0.0
0.46075,0.437,0.016,488000,0.0
0.47229,0.447,0.013,489000,0.0
0.45606,0.432,0.01,490000,0.0
0.44751,0.425,0.015,491000,0.0
0.453,0.432,0.01,492000,0.0
0.42471,0.404,0.011,493000,0.0
0.45174,0.431,0.012,494000,0.0
0.44159,0.421,0.011,495000,0.0
0.44162,0.421,0.012,496000,0.0
0.4442,0.423,0.014,497000,0.0
0.44758,0.428,0.013,498000,0.0
0.44382,0.424,0.013,499000,0.0
