avg_score,avg_diff,loss_train,step_idx,avg_winning
0.51524,0.012,0.0,217000,0.472
0.51849,0.016,0.0,218000,0.476
0.51871,0.011,0.0,219000,0.476
0.52527,0.016,0.0,220000,0.482
0.51484,0.011,0.0,221000,0.472
0.51911,0.019,0.0,222000,0.477
0.52667,0.013,0.0,223000,0.484
0.51442,0.021,0.0,224000,0.472
0.53427,0.009,0.0,225000,0.492
0.52761,0.013,0.0,226000,0.484
0.50035,0.024,0.0,227000,0.458
0.51705,0.006,0.0,228000,0.474
0.51897,0.022,0.0,229000,0.476
0.53021,0.007,0.0,230000,0.487
0.52247,0.021,0.0,231000,0.479
0.52903,0.016,0.0,232000,0.486
0.52194,0.012,0.0,233000,0.479
0.51523,0.015,0.0,234000,0.472
0.51807,0.013,0.0,235000,0.475
0.51544,0.017,0.0,236000,0.473
0.52297,0.023,0.0,237000,0.481
0.51627,0.012,0.0,238000,0.474
0.5138,0.016,0.0,239000,0.471
0.5181,0.01,0.0,240000,0.475
0.51675,0.017,0.0,241000,0.474
0.51242,0.015,0.0,242000,0.469
0.52381,0.019,0.0,243000,0.48
0.51247,0.015,0.0,244000,0.469
0.51737,0.015,0.0,245000,0.474
