step_idx,avg_score,avg_diff,loss_train,avg_winning
293000,0.48646,0.017,0.0,0.458
294000,0.4793,0.01,0.0,0.451
295000,0.49852,0.019,0.0,0.47
296000,0.49631,0.017,0.0,0.468
297000,0.48162,0.022,0.0,0.453
298000,0.49224,0.017,0.0,0.464
299000,0.49256,0.012,0.0,0.464
300000,0.49441,0.013,0.0,0.465
301000,0.51873,0.011,0.0,0.488
302000,0.48185,0.013,0.0,0.453
303000,0.48274,0.015,0.0,0.455
304000,0.48987,0.014,0.0,0.462
305000,0.49319,0.02,0.0,0.465
306000,0.49735,0.012,0.0,0.469
307000,0.49857,0.018,0.0,0.471
308000,0.48947,0.018,0.0,0.462
309000,0.48443,0.019,0.0,0.456
310000,0.4917,0.015,0.0,0.464
311000,0.49173,0.016,0.0,0.464
312000,0.48678,0.017,0.0,0.46
313000,0.50698,0.012,0.0,0.48
314000,0.47194,0.014,0.0,0.445
315000,0.47971,0.009,0.0,0.453
316000,0.47668,0.01,0.0,0.45
317000,0.49588,0.011,0.0,0.469
318000,0.47315,0.008,0.0,0.446
319000,0.48596,0.013,0.0,0.459
320000,0.49256,0.008,0.0,0.465
321000,0.4952,0.005,0.0,0.468
322000,0.49093,0.009,0.0,0.464
323000,0.48227,0.015,0.0,0.454
324000,0.48587,0.019,0.0,0.457
325000,0.50882,0.011,0.0,0.479
326000,0.51122,0.013,0.0,0.482
327000,0.48966,0.01,0.0,0.461
328000,0.51192,0.008,0.0,0.483
329000,0.48827,0.006,0.0,0.46
330000,0.48672,0.007,0.0,0.458
331000,0.48598,0.009,0.0,0.458
332000,0.51007,0.01,0.0,0.481
333000,0.49417,0.015,0.0,0.465
334000,0.50386,0.017,0.0,0.474
335000,0.49691,0.014,0.0,0.468
336000,0.48912,0.012,0.0,0.461
337000,0.49382,0.018,0.0,0.466
338000,0.49034,0.012,0.0,0.463
339000,0.50844,0.019,0.0,0.48
340000,0.5063,0.012,0.0,0.478
341000,0.49827,0.016,0.0,0.47
342000,0.50074,0.009,0.0,0.472
343000,0.49459,0.014,0.0,0.466
344000,0.51158,0.011,0.0,0.482
345000,0.52448,0.014,0.0,0.495
346000,0.51668,0.012,0.0,0.488
347000,0.51342,0.006,0.0,0.485
348000,0.49625,0.017,0.0,0.468
349000,0.51568,0.009,0.0,0.487
350000,0.48915,0.016,0.0,0.461
351000,0.50529,0.01,0.0,0.477
352000,0.49123,0.009,0.0,0.463
353000,0.48504,0.015,0.0,0.456
354000,0.49296,0.012,0.0,0.465
355000,0.51023,0.016,0.0,0.482
356000,0.47103,0.012,0.0,0.444
357000,0.49288,0.014,0.0,0.466
358000,0.49833,0.018,0.0,0.471
359000,0.49413,0.015,0.0,0.467
360000,0.48263,0.014,0.0,0.456
361000,0.48855,0.009,0.0,0.462
362000,0.48058,0.01,0.0,0.454
363000,0.48643,0.012,0.0,0.459
364000,0.49772,0.011,0.0,0.469
365000,0.50644,0.015,0.0,0.477
366000,0.48993,0.009,0.0,0.461
367000,0.50969,0.01,0.0,0.48
368000,0.48955,0.012,0.0,0.46
369000,0.48818,0.011,0.0,0.459
370000,0.4795,0.011,0.0,0.451
371000,0.49517,0.01,0.0,0.466
372000,0.49787,0.013,0.0,0.469
373000,0.49436,0.007,0.0,0.465
374000,0.50166,0.012,0.0,0.473
375000,0.47449,0.013,0.0,0.446
376000,0.48057,0.022,0.0,0.452
377000,0.49827,0.013,0.0,0.469
378000,0.48715,0.015,0.0,0.458
379000,0.51311,0.01,0.0,0.484
380000,0.48956,0.011,0.0,0.461
381000,0.49472,0.011,0.0,0.466
382000,0.48514,0.017,0.0,0.457
383000,0.50042,0.016,0.0,0.471
384000,0.49078,0.013,0.0,0.461
385000,0.49714,0.013,0.0,0.467
386000,0.4903,0.017,0.0,0.461
387000,0.48778,0.016,0.0,0.459
388000,0.4806,0.003,0.0,0.452
389000,0.48297,0.011,0.0,0.454
390000,0.49433,0.017,0.0,0.464
391000,0.48983,0.01,0.0,0.459
392000,0.5037,0.012,0.0,0.473
393000,0.49588,0.007,0.0,0.466
394000,0.48715,0.011,0.0,0.458
395000,0.4636,0.006,0.0,0.435
396000,0.47293,0.01,0.0,0.445
397000,0.48851,0.011,0.0,0.459
398000,0.49209,0.012,0.0,0.462
399000,0.48575,0.014,0.0,0.456
400000,0.47841,0.006,0.0,0.449
401000,0.50064,0.014,0.0,0.471
402000,0.47403,0.018,0.0,0.445
403000,0.47839,0.009,0.0,0.449
404000,0.48798,0.024,0.0,0.459
405000,0.49249,0.015,0.0,0.463
406000,0.49295,0.015,0.0,0.463
407000,0.47964,0.014,0.0,0.45
408000,0.47977,0.012,0.0,0.451
409000,0.49118,0.017,0.0,0.462
410000,0.47532,0.016,0.0,0.447
411000,0.48848,0.006,0.0,0.459
412000,0.47933,0.008,0.0,0.45
413000,0.48357,0.014,0.0,0.454
414000,0.4973,0.014,0.0,0.467
415000,0.49045,0.016,0.0,0.46
416000,0.49066,0.013,0.0,0.46
417000,0.4816,0.019,0.0,0.45
418000,0.49469,0.015,0.0,0.463
419000,0.47529,0.017,0.0,0.445
420000,0.49734,0.013,0.0,0.466
421000,0.48383,0.018,0.0,0.453
422000,0.50258,0.006,0.0,0.471
423000,0.49842,0.007,0.0,0.467
424000,0.4909,0.011,0.0,0.46
425000,0.50874,0.015,0.0,0.478
426000,0.4953,0.016,0.0,0.464
427000,0.5035,0.019,0.0,0.472
428000,0.50143,0.012,0.0,0.471
429000,0.49343,0.017,0.0,0.463
430000,0.49514,0.02,0.0,0.465
431000,0.47812,0.02,0.0,0.449
432000,0.50012,0.016,0.0,0.471
433000,0.48444,0.017,0.0,0.455
434000,0.50659,0.012,0.0,0.476
435000,0.488,0.015,0.0,0.458
436000,0.49356,0.015,0.0,0.463
437000,0.4808,0.015,0.0,0.45
438000,0.48299,0.013,0.0,0.453
439000,0.48851,0.014,0.0,0.458
440000,0.47232,0.01,0.0,0.443
441000,0.47303,0.015,0.0,0.444
442000,0.47263,0.011,0.0,0.444
443000,0.48432,0.01,0.0,0.455
444000,0.47597,0.017,0.0,0.446
445000,0.48606,0.012,0.0,0.455
446000,0.47928,0.008,0.0,0.448
447000,0.48646,0.013,0.0,0.455
448000,0.47909,0.017,0.0,0.448
449000,0.50079,0.009,0.0,0.469
450000,0.48621,0.01,0.0,0.456
451000,0.49653,0.01,0.0,0.466
452000,0.47768,0.011,0.0,0.448
453000,0.46949,0.015,0.0,0.44
454000,0.47772,0.022,0.0,0.448
455000,0.49686,0.01,0.0,0.467
456000,0.47342,0.009,0.0,0.444
457000,0.49171,0.014,0.0,0.462
458000,0.49844,0.009,0.0,0.468
459000,0.48502,0.011,0.0,0.456
460000,0.48992,0.008,0.0,0.46
461000,0.48513,0.009,0.0,0.455
462000,0.50128,0.012,0.0,0.471
463000,0.49916,0.004,0.0,0.469
464000,0.49045,0.013,0.0,0.46
465000,0.49995,0.01,0.0,0.469
466000,0.48948,0.01,0.0,0.458
467000,0.484,0.011,0.0,0.453
468000,0.48163,0.009,0.0,0.451
469000,0.46807,0.015,0.0,0.438
470000,0.46655,0.018,0.0,0.437
471000,0.48138,0.015,0.0,0.453
472000,0.47841,0.009,0.0,0.449
473000,0.49371,0.02,0.0,0.463
474000,0.50068,0.016,0.0,0.469
475000,0.49925,0.014,0.0,0.468
476000,0.48053,0.019,0.0,0.449
477000,0.50029,0.018,0.0,0.469
478000,0.47681,0.016,0.0,0.445
479000,0.48988,0.01,0.0,0.458
480000,0.4902,0.017,0.0,0.458
481000,0.49549,0.017,0.0,0.464
482000,0.49266,0.017,0.0,0.462
483000,0.49878,0.02,0.0,0.467
484000,0.49872,0.011,0.0,0.468
485000,0.4882,0.017,0.0,0.457
486000,0.4854,0.014,0.0,0.455
487000,0.49625,0.02,0.0,0.466
488000,0.48601,0.015,0.0,0.454
489000,0.49707,0.02,0.0,0.465
490000,0.49766,0.018,0.0,0.467
491000,0.49171,0.018,0.0,0.46
492000,0.50922,0.016,0.0,0.477
493000,0.50583,0.013,0.0,0.474
494000,0.50766,0.017,0.0,0.476
495000,0.49491,0.016,0.0,0.463
496000,0.50159,0.009,0.0,0.469
497000,0.50087,0.021,0.0,0.468
498000,0.49692,0.012,0.0,0.465
499000,0.5015,0.018,0.0,0.471
