avg_winning,avg_diff,avg_score,step_idx,loss_train
0.359,0.012,0.38061,280000,0.0
0.36,0.022,0.38078,281000,0.0
0.348,0.018,0.36864,282000,0.0
0.348,0.022,0.3695,283000,0.0
0.353,0.014,0.3757,284000,0.0
0.359,0.016,0.38051,285000,0.0
0.344,0.018,0.3659,286000,0.0
0.353,0.019,0.37598,287000,0.0
0.36,0.024,0.38209,288000,0.0
0.358,0.02,0.37934,289000,0.0
0.356,0.017,0.37744,290000,0.0
0.36,0.018,0.38109,291000,0.0
0.366,0.024,0.3875,292000,0.0
0.362,0.025,0.38397,293000,0.0
0.347,0.025,0.36778,294000,0.0
0.353,0.018,0.3746,295000,0.0
0.383,0.028,0.40439,296000,0.0
0.371,0.017,0.39136,297000,0.0
0.366,0.02,0.38652,298000,0.0
0.363,0.016,0.38558,299000,0.0
0.366,0.021,0.3892,300000,0.0
0.364,0.019,0.38633,301000,0.0
0.373,0.012,0.3979,302000,0.0
0.364,0.018,0.38814,303000,0.0
0.371,0.018,0.39573,304000,0.0
0.364,0.017,0.38871,305000,0.0
0.378,0.017,0.40278,306000,0.0
0.351,0.022,0.3762,307000,0.0
0.359,0.021,0.38485,308000,0.0
0.37,0.021,0.39643,309000,0.0
0.348,0.018,0.37323,310000,0.0
0.371,0.019,0.39292,311000,0.0
0.368,0.02,0.38974,312000,0.0
0.37,0.019,0.39257,313000,0.0
0.366,0.021,0.3892,314000,0.0
0.351,0.016,0.37342,315000,0.0
0.364,0.023,0.38683,316000,0.0
0.359,0.014,0.38059,317000,0.0
0.357,0.008,0.37816,318000,0.0
0.362,0.013,0.38403,319000,0.0
0.344,0.018,0.36716,320000,0.0
0.346,0.024,0.36817,321000,0.0
0.358,0.017,0.37978,322000,0.0
0.351,0.017,0.37396,323000,0.0
0.356,0.021,0.38016,324000,0.0
0.349,0.026,0.37473,325000,0.0
0.35,0.017,0.37523,326000,0.0
0.352,0.016,0.37649,327000,0.0
0.353,0.018,0.37524,328000,0.0
0.371,0.02,0.39257,329000,0.0
0.346,0.02,0.3675,330000,0.0
0.355,0.018,0.37532,331000,0.0
0.353,0.014,0.37369,332000,0.0
0.355,0.023,0.37647,333000,0.0
0.371,0.02,0.39437,334000,0.0
0.365,0.016,0.38844,335000,0.0
0.364,0.014,0.38772,336000,0.0
0.336,0.015,0.35815,337000,0.0
0.344,0.018,0.36821,338000,0.0
0.364,0.017,0.38857,339000,0.0
0.34,0.014,0.36345,340000,0.0
0.344,0.022,0.3672,341000,0.0
0.356,0.02,0.37946,342000,0.0
0.343,0.021,0.36667,343000,0.0
0.344,0.013,0.36829,344000,0.0
0.348,0.026,0.37309,345000,0.0
0.354,0.016,0.37666,346000,0.0
0.349,0.018,0.37062,347000,0.0
0.37,0.019,0.39129,348000,0.0
0.348,0.022,0.37011,349000,0.0
0.344,0.025,0.36685,350000,0.0
0.346,0.028,0.36826,351000,0.0
0.34,0.024,0.36321,352000,0.0
