avg_score,loss_train,avg_diff,avg_winning,step_idx
0.51345,0.0,0.02,0.477,289000
0.52691,0.0,0.021,0.49,290000
0.51454,0.0,0.02,0.478,291000
0.51243,0.0,0.015,0.477,292000
0.49941,0.0,0.017,0.465,293000
0.50884,0.0,0.017,0.474,294000
0.51903,0.0,0.023,0.485,295000
0.51372,0.0,0.017,0.478,296000
0.52517,0.0,0.016,0.49,297000
0.50654,0.0,0.021,0.472,298000
0.50697,0.0,0.022,0.471,299000
0.52711,0.0,0.021,0.491,300000
0.51807,0.0,0.018,0.483,301000
0.51555,0.0,0.028,0.481,302000
0.50949,0.0,0.022,0.475,303000
0.50336,0.0,0.02,0.469,304000
0.51624,0.0,0.019,0.482,305000
0.50186,0.0,0.018,0.467,306000
0.52204,0.0,0.026,0.486,307000
0.51733,0.0,0.014,0.482,308000
0.50151,0.0,0.02,0.466,309000
0.51913,0.0,0.025,0.484,310000
0.50089,0.0,0.023,0.466,311000
0.52171,0.0,0.016,0.487,312000
0.52154,0.0,0.024,0.487,313000
0.51398,0.0,0.014,0.479,314000
0.5102,0.0,0.017,0.476,315000
0.51035,0.0,0.014,0.476,316000
0.51652,0.0,0.021,0.483,317000
0.5091,0.0,0.024,0.475,318000
0.50336,0.0,0.017,0.469,319000
0.50576,0.0,0.024,0.472,320000
0.50663,0.0,0.013,0.473,321000
0.51024,0.0,0.02,0.476,322000
0.5139,0.0,0.015,0.479,323000
0.51801,0.0,0.018,0.483,324000
0.50773,0.0,0.017,0.473,325000
0.52687,0.0,0.019,0.493,326000
0.50027,0.0,0.027,0.467,327000
0.51874,0.0,0.018,0.484,328000
0.52681,0.0,0.014,0.492,329000
0.50936,0.0,0.018,0.475,330000
0.51806,0.0,0.014,0.483,331000
0.48535,0.0,0.023,0.45,332000
0.50644,0.0,0.016,0.47,333000
0.51751,0.0,0.017,0.481,334000
0.52817,0.0,0.011,0.491,335000
0.51758,0.0,0.023,0.482,336000
0.52986,0.0,0.012,0.493,337000
0.527,0.0,0.021,0.489,338000
0.51591,0.0,0.015,0.479,339000
0.52505,0.0,0.02,0.488,340000
0.51646,0.0,0.018,0.479,341000
0.52912,0.0,0.016,0.491,342000
0.52221,0.0,0.01,0.484,343000
0.52546,0.0,0.012,0.488,344000
0.53166,0.0,0.009,0.493,345000
0.53366,0.0,0.019,0.495,346000
0.53147,0.0,0.012,0.493,347000
0.52859,0.0,0.013,0.491,348000
0.52465,0.0,0.015,0.486,349000
0.53057,0.0,0.016,0.493,350000
0.51813,0.0,0.015,0.481,351000
0.51791,0.0,0.015,0.481,352000
0.52089,0.0,0.021,0.485,353000
0.53875,0.0,0.023,0.502,354000
0.5106,0.0,0.018,0.475,355000
0.52623,0.0,0.022,0.49,356000
0.5305,0.0,0.019,0.495,357000
0.54071,0.0,0.014,0.504,358000
0.51632,0.0,0.008,0.48,359000
0.50589,0.0,0.023,0.469,360000
0.53695,0.0,0.021,0.501,361000
0.51387,0.0,0.022,0.478,362000
0.53181,0.0,0.012,0.496,363000
0.51604,0.0,0.015,0.48,364000
0.50438,0.0,0.017,0.469,365000
0.51403,0.0,0.008,0.478,366000
0.51226,0.0,0.015,0.477,367000
0.51606,0.0,0.01,0.48,368000
0.51161,0.0,0.015,0.476,369000
0.51326,0.0,0.013,0.478,370000
0.50314,0.0,0.018,0.468,371000
0.5188,0.0,0.016,0.483,372000
0.51105,0.0,0.026,0.476,373000
0.52887,0.0,0.016,0.493,374000
0.50893,0.0,0.019,0.475,375000
0.50205,0.0,0.017,0.468,376000
0.50251,0.0,0.014,0.469,377000
0.50463,0.0,0.012,0.47,378000
0.52261,0.0,0.01,0.487,379000
0.51643,0.0,0.015,0.481,380000
0.50507,0.0,0.018,0.47,381000
0.51254,0.0,0.019,0.478,382000
0.51196,0.0,0.02,0.477,383000
0.51432,0.0,0.02,0.479,384000
0.50263,0.0,0.022,0.468,385000
0.51054,0.0,0.017,0.476,386000
0.52129,0.0,0.015,0.487,387000
0.50658,0.0,0.017,0.473,388000
0.5218,0.0,0.02,0.487,389000
0.51228,0.0,0.008,0.477,390000
0.50904,0.0,0.012,0.473,391000
0.51755,0.0,0.012,0.482,392000
0.49553,0.0,0.013,0.461,393000
0.512,0.0,0.022,0.477,394000
0.51533,0.0,0.006,0.48,395000
0.4953,0.0,0.013,0.46,396000
0.50508,0.0,0.02,0.47,397000
0.50673,0.0,0.022,0.471,398000
0.50787,0.0,0.018,0.472,399000
0.49089,0.0,0.015,0.455,400000
0.50479,0.0,0.019,0.468,401000
0.52223,0.0,0.014,0.486,402000
0.51184,0.0,0.014,0.476,403000
0.49791,0.0,0.013,0.461,404000
0.5094,0.0,0.017,0.473,405000
0.52649,0.0,0.022,0.49,406000
0.50953,0.0,0.014,0.473,407000
0.51727,0.0,0.016,0.481,408000
0.51391,0.0,0.01,0.478,409000
0.50533,0.0,0.015,0.469,410000
0.5159,0.0,0.02,0.479,411000
0.50597,0.0,0.004,0.47,412000
0.50286,0.0,0.019,0.468,413000
0.5024,0.0,0.018,0.468,414000
0.51028,0.0,0.014,0.476,415000
0.51389,0.0,0.014,0.481,416000
0.50391,0.0,0.011,0.47,417000
0.5039,0.0,0.02,0.469,418000
0.51178,0.0,0.016,0.478,419000
0.49749,0.0,0.021,0.464,420000
0.49178,0.0,0.019,0.458,421000
0.51963,0.0,0.011,0.484,422000
0.50654,0.0,0.014,0.471,423000
0.50301,0.0,0.012,0.468,424000
0.51699,0.0,0.013,0.483,425000
0.49908,0.0,0.022,0.466,426000
0.50724,0.0,0.013,0.474,427000
0.49217,0.0,0.014,0.459,428000
0.49885,0.0,0.014,0.464,429000
0.51056,0.0,0.014,0.475,430000
0.51661,0.0,0.027,0.48,431000
0.49165,0.0,0.013,0.456,432000
0.50748,0.0,0.023,0.471,433000
0.51214,0.0,0.006,0.477,434000
0.49531,0.0,0.013,0.46,435000
0.48835,0.0,0.011,0.453,436000
0.49804,0.0,0.019,0.463,437000
0.51412,0.0,0.024,0.479,438000
0.50142,0.0,0.009,0.467,439000
0.50155,0.0,0.019,0.468,440000
0.5076,0.0,0.015,0.473,441000
0.48867,0.0,0.014,0.453,442000
0.50328,0.0,0.015,0.468,443000
0.5035,0.0,0.012,0.467,444000
0.49905,0.0,0.014,0.463,445000
0.48907,0.0,0.018,0.453,446000
0.51123,0.0,0.013,0.476,447000
0.5213,0.0,0.012,0.486,448000
0.51159,0.0,0.011,0.476,449000
0.4963,0.0,0.009,0.462,450000
0.50474,0.0,0.012,0.471,451000
0.49585,0.0,0.015,0.462,452000
0.50227,0.0,0.011,0.469,453000
0.49054,0.0,0.012,0.459,454000
0.50483,0.0,0.01,0.473,455000
0.51395,0.0,0.023,0.481,456000
0.49752,0.0,0.022,0.465,457000
0.495,0.0,0.022,0.462,458000
0.50483,0.0,0.017,0.472,459000
0.49783,0.0,0.015,0.465,460000
0.49231,0.0,0.009,0.46,461000
0.49282,0.0,0.016,0.46,462000
0.5095,0.0,0.01,0.477,463000
0.49628,0.0,0.014,0.463,464000
0.50516,0.0,0.015,0.471,465000
0.49599,0.0,0.011,0.462,466000
0.51348,0.0,0.014,0.479,467000
0.50764,0.0,0.008,0.472,468000
0.50061,0.0,0.018,0.465,469000
0.5102,0.0,0.012,0.474,470000
0.48568,0.0,0.003,0.45,471000
0.50129,0.0,0.013,0.466,472000
0.50175,0.0,0.011,0.466,473000
0.51193,0.0,0.007,0.476,474000
0.49909,0.0,0.012,0.463,475000
0.49916,0.0,0.014,0.464,476000
0.50104,0.0,0.01,0.466,477000
0.49684,0.0,0.012,0.462,478000
0.50096,0.0,0.013,0.467,479000
0.48698,0.0,0.013,0.453,480000
0.49354,0.0,0.011,0.458,481000
0.5024,0.0,0.013,0.468,482000
0.49964,0.0,0.016,0.465,483000
0.46957,0.0,0.007,0.437,484000
0.49051,0.0,0.019,0.457,485000
