avg_winning,avg_diff,loss_train,avg_score,step_idx
0.337,0.018,0.0,0.35889,243000
0.347,0.021,0.0,0.37002,244000
0.348,0.016,0.0,0.37016,245000
0.343,0.017,0.0,0.36562,246000
0.338,0.02,0.0,0.36108,247000
0.341,0.013,0.0,0.36363,248000
0.341,0.021,0.0,0.36463,249000
0.329,0.026,0.0,0.3526,250000
0.339,0.026,0.0,0.36209,251000
0.341,0.027,0.0,0.36381,252000
0.357,0.018,0.0,0.3806,253000
0.357,0.018,0.0,0.37872,254000
0.341,0.015,0.0,0.36261,255000
0.332,0.016,0.0,0.35281,256000
0.353,0.015,0.0,0.37556,257000
0.346,0.013,0.0,0.36857,258000
0.343,0.02,0.0,0.36522,259000
0.339,0.017,0.0,0.36127,260000
0.338,0.018,0.0,0.36135,261000
0.324,0.016,0.0,0.34708,262000
0.335,0.015,0.0,0.35872,263000
0.337,0.016,0.0,0.36084,264000
0.342,0.015,0.0,0.36592,265000
0.347,0.018,0.0,0.37114,266000
0.348,0.018,0.0,0.37176,267000
0.331,0.019,0.0,0.35345,268000
0.34,0.015,0.0,0.36198,269000
0.349,0.018,0.0,0.37222,270000
0.332,0.018,0.0,0.35649,271000
0.356,0.023,0.0,0.37923,272000
0.352,0.025,0.0,0.37598,273000
0.338,0.011,0.0,0.36082,274000
0.338,0.013,0.0,0.35992,275000
0.344,0.015,0.0,0.36601,276000
0.34,0.014,0.0,0.36296,277000
0.338,0.016,0.0,0.36038,278000
0.346,0.016,0.0,0.36816,279000
0.32,0.017,0.0,0.34182,280000
0.331,0.02,0.0,0.35346,281000
0.332,0.013,0.0,0.35414,282000
0.341,0.015,0.0,0.36275,283000
0.334,0.015,0.0,0.3561,284000
0.333,0.014,0.0,0.35466,285000
0.347,0.012,0.0,0.36921,286000
0.336,0.014,0.0,0.35878,287000
0.333,0.021,0.0,0.35529,288000
0.351,0.014,0.0,0.37426,289000
0.347,0.02,0.0,0.36985,290000
0.342,0.019,0.0,0.36573,291000
0.351,0.025,0.0,0.37401,292000
0.362,0.016,0.0,0.38516,293000
0.343,0.018,0.0,0.36549,294000
0.344,0.02,0.0,0.3664,295000
0.351,0.013,0.0,0.37385,296000
0.367,0.019,0.0,0.39132,297000
0.348,0.028,0.0,0.37107,298000
0.339,0.029,0.0,0.36289,299000
0.348,0.02,0.0,0.37155,300000
0.339,0.017,0.0,0.36263,301000
0.354,0.018,0.0,0.37722,302000
0.343,0.014,0.0,0.36497,303000
0.351,0.023,0.0,0.37449,304000
0.346,0.019,0.0,0.36888,305000
0.346,0.018,0.0,0.36858,306000
