avg_score,avg_diff,loss_train,step_idx,avg_winning
0.54593,0.017,0.0,217000,0.512
0.51281,0.018,0.0,218000,0.479
0.51871,0.011,0.0,219000,0.485
0.52057,0.026,0.0,220000,0.486
0.51737,0.011,0.0,221000,0.482
0.51368,0.016,0.0,222000,0.479
0.53026,0.016,0.0,223000,0.495
0.52346,0.011,0.0,224000,0.488
0.51181,0.018,0.0,225000,0.476
0.51542,0.013,0.0,226000,0.479
0.52452,0.013,0.0,227000,0.488
0.51949,0.017,0.0,228000,0.484
0.51694,0.012,0.0,229000,0.481
0.51704,0.015,0.0,230000,0.482
0.51247,0.018,0.0,231000,0.477
0.52006,0.01,0.0,232000,0.486
0.52111,0.014,0.0,233000,0.487
0.53485,0.014,0.0,234000,0.501
0.52343,0.016,0.0,235000,0.488
0.51542,0.012,0.0,236000,0.48
0.52354,0.02,0.0,237000,0.487
0.51632,0.021,0.0,238000,0.48
0.54143,0.02,0.0,239000,0.505
0.51029,0.019,0.0,240000,0.475
0.52011,0.013,0.0,241000,0.484
0.52117,0.019,0.0,242000,0.484
0.52727,0.018,0.0,243000,0.491
0.52332,0.02,0.0,244000,0.487
0.50999,0.021,0.0,245000,0.475
0.51613,0.017,0.0,246000,0.481
0.50814,0.018,0.0,247000,0.473
0.52,0.01,0.0,248000,0.485
0.52152,0.022,0.0,249000,0.485
0.52311,0.02,0.0,250000,0.486
0.52065,0.025,0.0,251000,0.484
0.52113,0.015,0.0,252000,0.484
0.51038,0.02,0.0,253000,0.474
0.52155,0.014,0.0,254000,0.485
0.51339,0.019,0.0,255000,0.478
0.52292,0.019,0.0,256000,0.488
0.52528,0.024,0.0,257000,0.489
0.53331,0.014,0.0,258000,0.498
0.52005,0.014,0.0,259000,0.483
0.52048,0.021,0.0,260000,0.483
0.53781,0.025,0.0,261000,0.5
0.52709,0.019,0.0,262000,0.491
0.53685,0.02,0.0,263000,0.501
0.53593,0.021,0.0,264000,0.5
0.52322,0.017,0.0,265000,0.488
0.53517,0.021,0.0,266000,0.5
0.52679,0.019,0.0,267000,0.493
0.53536,0.016,0.0,268000,0.5
0.52178,0.018,0.0,269000,0.485
0.54272,0.015,0.0,270000,0.507
0.5202,0.01,0.0,271000,0.486
0.51941,0.019,0.0,272000,0.485
0.52377,0.024,0.0,273000,0.489
0.52936,0.016,0.0,274000,0.494
0.5354,0.021,0.0,275000,0.501
0.51866,0.014,0.0,276000,0.484
0.50703,0.018,0.0,277000,0.47
0.52907,0.021,0.0,278000,0.492
0.52594,0.017,0.0,279000,0.49
0.52379,0.017,0.0,280000,0.489
0.52337,0.018,0.0,281000,0.488
0.52282,0.019,0.0,282000,0.488
0.53534,0.016,0.0,283000,0.501
0.53378,0.026,0.0,284000,0.5
0.5233,0.019,0.0,285000,0.489
0.50525,0.021,0.0,286000,0.471
0.53074,0.018,0.0,287000,0.495
0.53821,0.024,0.0,288000,0.504
0.54027,0.02,0.0,289000,0.507
0.53092,0.026,0.0,290000,0.498
0.53102,0.014,0.0,291000,0.498
0.50611,0.024,0.0,292000,0.473
0.5251,0.017,0.0,293000,0.492
0.51773,0.021,0.0,294000,0.484
0.51094,0.023,0.0,295000,0.477
0.49672,0.017,0.0,296000,0.463
0.5018,0.024,0.0,297000,0.468
0.51446,0.026,0.0,298000,0.48
0.49584,0.02,0.0,299000,0.462
0.49314,0.022,0.0,300000,0.459
0.52165,0.019,0.0,301000,0.486
0.51829,0.025,0.0,302000,0.485
0.54016,0.024,0.0,303000,0.506
0.51286,0.024,0.0,304000,0.478
0.51932,0.017,0.0,305000,0.484
0.53605,0.026,0.0,306000,0.501
0.51834,0.024,0.0,307000,0.484
0.52544,0.017,0.0,308000,0.49
0.51204,0.016,0.0,309000,0.476
0.51893,0.019,0.0,310000,0.482
0.51288,0.018,0.0,311000,0.476
0.5176,0.018,0.0,312000,0.481
0.53439,0.016,0.0,313000,0.499
0.52251,0.023,0.0,314000,0.487
0.52498,0.019,0.0,315000,0.491
0.52194,0.015,0.0,316000,0.487
0.52532,0.019,0.0,317000,0.49
0.53542,0.025,0.0,318000,0.501
0.52676,0.021,0.0,319000,0.493
0.51494,0.023,0.0,320000,0.481
0.5328,0.022,0.0,321000,0.499
0.515,0.022,0.0,322000,0.481
0.54505,0.022,0.0,323000,0.51
0.53285,0.016,0.0,324000,0.497
0.55267,0.02,0.0,325000,0.516
0.52969,0.021,0.0,326000,0.495
0.53631,0.018,0.0,327000,0.503
0.53078,0.016,0.0,328000,0.497
0.53707,0.016,0.0,329000,0.503
0.53169,0.025,0.0,330000,0.499
0.52724,0.021,0.0,331000,0.494
0.53336,0.021,0.0,332000,0.499
0.52047,0.018,0.0,333000,0.486
0.51469,0.017,0.0,334000,0.482
0.52943,0.01,0.0,335000,0.495
0.52346,0.015,0.0,336000,0.49
0.53269,0.016,0.0,337000,0.5
0.52485,0.018,0.0,338000,0.492
0.52803,0.019,0.0,339000,0.495
0.5168,0.02,0.0,340000,0.484
0.52552,0.017,0.0,341000,0.493
0.5149,0.014,0.0,342000,0.481
0.53184,0.019,0.0,343000,0.498
0.51415,0.015,0.0,344000,0.479
0.51389,0.02,0.0,345000,0.479
0.51907,0.016,0.0,346000,0.485
0.50936,0.024,0.0,347000,0.475
0.49199,0.018,0.0,348000,0.458
0.5177,0.017,0.0,349000,0.483
0.49305,0.016,0.0,350000,0.457
0.5138,0.019,0.0,351000,0.478
0.50674,0.02,0.0,352000,0.471
0.50915,0.021,0.0,353000,0.474
0.50131,0.019,0.0,354000,0.466
0.50777,0.019,0.0,355000,0.472
0.50777,0.019,0.0,356000,0.472
0.5072,0.02,0.0,357000,0.472
0.52033,0.023,0.0,358000,0.485
0.52405,0.019,0.0,359000,0.488
0.54587,0.019,0.0,360000,0.51
0.51792,0.011,0.0,361000,0.483
0.50822,0.023,0.0,362000,0.473
0.52216,0.015,0.0,363000,0.488
0.5439,0.023,0.0,364000,0.509
0.52226,0.021,0.0,365000,0.487
0.53919,0.02,0.0,366000,0.504
0.50658,0.019,0.0,367000,0.472
0.51826,0.018,0.0,368000,0.484
0.53098,0.018,0.0,369000,0.496
0.51698,0.02,0.0,370000,0.482
0.51636,0.016,0.0,371000,0.481
0.51527,0.024,0.0,372000,0.481
0.53183,0.017,0.0,373000,0.497
0.51768,0.02,0.0,374000,0.483
0.51888,0.015,0.0,375000,0.484
0.53265,0.022,0.0,376000,0.497
0.53995,0.026,0.0,377000,0.506
0.52236,0.016,0.0,378000,0.488
0.52285,0.023,0.0,379000,0.49
0.52848,0.021,0.0,380000,0.494
0.52604,0.017,0.0,381000,0.492
0.52113,0.021,0.0,382000,0.486
0.52589,0.017,0.0,383000,0.492
0.52223,0.019,0.0,384000,0.488
0.51218,0.024,0.0,385000,0.478
0.53342,0.025,0.0,386000,0.499
0.51151,0.018,0.0,387000,0.478
0.52172,0.019,0.0,388000,0.489
0.52467,0.014,0.0,389000,0.49
0.524,0.024,0.0,390000,0.49
0.50706,0.013,0.0,391000,0.473
0.51896,0.021,0.0,392000,0.485
0.52013,0.021,0.0,393000,0.486
0.52967,0.015,0.0,394000,0.495
0.53287,0.018,0.0,395000,0.498
0.52931,0.015,0.0,396000,0.495
0.51582,0.016,0.0,397000,0.482
0.5241,0.018,0.0,398000,0.491
0.52621,0.017,0.0,399000,0.492
0.51656,0.016,0.0,400000,0.483
0.51852,0.019,0.0,401000,0.485
0.5141,0.022,0.0,402000,0.48
0.52248,0.021,0.0,403000,0.488
0.51474,0.019,0.0,404000,0.48
0.51358,0.026,0.0,405000,0.481
0.52519,0.017,0.0,406000,0.492
0.51988,0.022,0.0,407000,0.488
0.51857,0.022,0.0,408000,0.488
0.53071,0.022,0.0,409000,0.499
0.52305,0.017,0.0,410000,0.49
0.52336,0.022,0.0,411000,0.49
0.52966,0.02,0.0,412000,0.495
0.51296,0.019,0.0,413000,0.479
0.53509,0.019,0.0,414000,0.5
0.52725,0.024,0.0,415000,0.492
0.52762,0.025,0.0,416000,0.493
0.5101,0.023,0.0,417000,0.475
0.51883,0.021,0.0,418000,0.485
0.51259,0.022,0.0,419000,0.479
0.51377,0.019,0.0,420000,0.481
0.51652,0.009,0.0,421000,0.483
0.5062,0.016,0.0,422000,0.474
0.51635,0.021,0.0,423000,0.484
0.52934,0.015,0.0,424000,0.498
0.5089,0.019,0.0,425000,0.476
0.53723,0.02,0.0,426000,0.503
0.52575,0.019,0.0,427000,0.492
0.52873,0.019,0.0,428000,0.494
0.52863,0.016,0.0,429000,0.495
0.5222,0.02,0.0,430000,0.488
0.52439,0.02,0.0,431000,0.49
0.52905,0.023,0.0,432000,0.495
0.53138,0.018,0.0,433000,0.496
0.53399,0.022,0.0,434000,0.498
0.52424,0.015,0.0,435000,0.488
0.53168,0.021,0.0,436000,0.496
0.52219,0.025,0.0,437000,0.486
0.51726,0.018,0.0,438000,0.483
0.53555,0.02,0.0,439000,0.501
0.51908,0.017,0.0,440000,0.486
0.52328,0.015,0.0,441000,0.49
0.50404,0.016,0.0,442000,0.47
0.51688,0.017,0.0,443000,0.482
0.50247,0.015,0.0,444000,0.468
0.5378,0.022,0.0,445000,0.503
0.51362,0.019,0.0,446000,0.481
0.51232,0.017,0.0,447000,0.48
0.50327,0.015,0.0,448000,0.47
0.51639,0.019,0.0,449000,0.482
0.52128,0.012,0.0,450000,0.487
0.51823,0.015,0.0,451000,0.484
0.52861,0.02,0.0,452000,0.494
0.51955,0.011,0.0,453000,0.485
0.53682,0.016,0.0,454000,0.502
0.50755,0.016,0.0,455000,0.474
0.52721,0.022,0.0,456000,0.495
0.52063,0.014,0.0,457000,0.489
0.50802,0.019,0.0,458000,0.475
0.52239,0.02,0.0,459000,0.49
0.52786,0.016,0.0,460000,0.495
0.5366,0.016,0.0,461000,0.503
0.52919,0.017,0.0,462000,0.497
0.51688,0.017,0.0,463000,0.485
0.5263,0.014,0.0,464000,0.494
0.51949,0.015,0.0,465000,0.487
0.53567,0.014,0.0,466000,0.501
0.52581,0.018,0.0,467000,0.493
0.5253,0.015,0.0,468000,0.491
0.52399,0.02,0.0,469000,0.491
