avg_score,loss_train,avg_diff,step_idx,avg_winning
0.36192,0.0,0.016,263000,0.341
0.35661,0.0,0.015,264000,0.335
0.36671,0.0,0.011,265000,0.344
0.37273,0.0,0.015,266000,0.35
0.34473,0.0,0.018,267000,0.322
0.35334,0.0,0.012,268000,0.33
0.3607,0.0,0.018,269000,0.337
0.35136,0.0,0.012,270000,0.328
0.35956,0.0,0.012,271000,0.336
0.35382,0.0,0.009,272000,0.33
0.36619,0.0,0.021,273000,0.343
0.38279,0.0,0.014,274000,0.36
0.36685,0.0,0.015,275000,0.344
0.37699,0.0,0.02,276000,0.354
0.36867,0.0,0.014,277000,0.347
0.35641,0.0,0.017,278000,0.335
0.36389,0.0,0.019,279000,0.341
0.372,0.0,0.014,280000,0.347
0.3709,0.0,0.02,281000,0.345
0.36064,0.0,0.01,282000,0.335
0.37853,0.0,0.013,283000,0.354
0.36894,0.0,0.013,284000,0.346
0.36038,0.0,0.014,285000,0.336
0.36598,0.0,0.015,286000,0.343
0.37366,0.0,0.015,287000,0.351
0.37297,0.0,0.02,288000,0.35
0.38757,0.0,0.014,289000,0.362
0.37975,0.0,0.011,290000,0.354
0.37819,0.0,0.019,291000,0.353
0.3643,0.0,0.011,292000,0.34
0.36408,0.0,0.014,293000,0.341
0.37036,0.0,0.021,294000,0.347
0.36457,0.0,0.013,295000,0.343
0.37856,0.0,0.015,296000,0.356
0.39486,0.0,0.015,297000,0.372
0.39425,0.0,0.016,298000,0.372
0.37585,0.0,0.013,299000,0.354
0.38025,0.0,0.017,300000,0.358
0.37077,0.0,0.019,301000,0.348
0.37789,0.0,0.012,302000,0.355
0.38981,0.0,0.013,303000,0.367
0.3912,0.0,0.021,304000,0.371
0.37456,0.0,0.02,305000,0.355
0.38963,0.0,0.016,306000,0.37
0.38094,0.0,0.017,307000,0.36
0.38848,0.0,0.011,308000,0.367
0.3881,0.0,0.014,309000,0.367
0.37389,0.0,0.012,310000,0.353
0.37684,0.0,0.017,311000,0.356
0.37187,0.0,0.014,312000,0.351
0.37366,0.0,0.014,313000,0.354
0.36737,0.0,0.017,314000,0.347
0.37232,0.0,0.015,315000,0.353
0.36495,0.0,0.017,316000,0.345
0.38717,0.0,0.01,317000,0.366
0.37493,0.0,0.012,318000,0.354
0.36617,0.0,0.008,319000,0.345
0.36609,0.0,0.014,320000,0.345
0.36686,0.0,0.015,321000,0.345
0.36327,0.0,0.016,322000,0.342
0.39378,0.0,0.017,323000,0.372
0.37229,0.0,0.014,324000,0.35
0.38599,0.0,0.016,325000,0.363
0.38033,0.0,0.019,326000,0.358
0.3637,0.0,0.019,327000,0.341
0.35448,0.0,0.022,328000,0.333
0.37397,0.0,0.017,329000,0.352
0.37621,0.0,0.017,330000,0.354
0.37074,0.0,0.012,331000,0.349
0.37809,0.0,0.018,332000,0.357
0.38142,0.0,0.017,333000,0.36
0.37982,0.0,0.014,334000,0.358
0.3673,0.0,0.018,335000,0.345
0.36192,0.0,0.017,336000,0.34
0.37072,0.0,0.017,337000,0.349
0.37003,0.0,0.017,338000,0.347
0.38412,0.0,0.016,339000,0.362
0.39221,0.0,0.021,340000,0.369
0.3824,0.0,0.02,341000,0.359
0.38199,0.0,0.019,342000,0.36
0.39532,0.0,0.014,343000,0.373
0.39341,0.0,0.011,344000,0.372
0.36583,0.0,0.011,345000,0.343
0.38521,0.0,0.01,346000,0.361
0.39564,0.0,0.013,347000,0.372
0.38825,0.0,0.016,348000,0.366
0.39698,0.0,0.011,349000,0.375
0.3825,0.0,0.012,350000,0.361
0.37994,0.0,0.018,351000,0.358
0.36288,0.0,0.01,352000,0.342
0.37115,0.0,0.018,353000,0.35
0.37615,0.0,0.018,354000,0.355
0.37526,0.0,0.006,355000,0.355
0.37639,0.0,0.01,356000,0.355
0.36169,0.0,0.016,357000,0.341
