avg_winning,loss_train,avg_diff,avg_score,step_idx
0.373,0.0,0.008,0.39321,210000
0.353,0.0,0.013,0.37071,211000
0.356,0.0,0.011,0.37394,212000
0.365,0.0,0.012,0.38319,213000
0.376,0.0,0.013,0.39455,214000
0.368,0.0,0.008,0.38638,215000
0.37,0.0,0.007,0.3892,216000
0.379,0.0,0.011,0.40013,217000
0.375,0.0,0.012,0.39552,218000
0.381,0.0,0.013,0.40061,219000
0.38,0.0,0.008,0.39936,220000
0.377,0.0,0.016,0.39681,221000
0.362,0.0,0.013,0.38023,222000
0.37,0.0,0.016,0.38899,223000
0.364,0.0,0.01,0.38236,224000
0.383,0.0,0.01,0.40109,225000
0.373,0.0,0.01,0.39024,226000
0.374,0.0,0.014,0.39156,227000
0.384,0.0,0.013,0.40136,228000
0.382,0.0,0.015,0.40113,229000
0.359,0.0,0.004,0.37771,230000
0.376,0.0,0.011,0.3974,231000
0.377,0.0,0.017,0.39845,232000
0.368,0.0,0.011,0.38757,233000
0.374,0.0,0.01,0.3923,234000
0.368,0.0,0.013,0.38758,235000
0.383,0.0,0.013,0.40224,236000
0.377,0.0,0.014,0.39635,237000
0.381,0.0,0.012,0.40354,238000
0.381,0.0,0.017,0.40381,239000
0.379,0.0,0.014,0.40038,240000
0.376,0.0,0.015,0.3972,241000
0.388,0.0,0.013,0.40912,242000
0.385,0.0,0.018,0.40425,243000
0.373,0.0,0.015,0.39091,244000
0.38,0.0,0.019,0.39825,245000
0.384,0.0,0.014,0.40271,246000
0.395,0.0,0.014,0.41422,247000
0.383,0.0,0.017,0.40245,248000
0.409,0.0,0.015,0.42832,249000
0.403,0.0,0.017,0.42229,250000
0.409,0.0,0.016,0.42786,251000
0.384,0.0,0.017,0.40209,252000
0.403,0.0,0.014,0.42124,253000
0.389,0.0,0.016,0.40758,254000
0.408,0.0,0.015,0.42723,255000
0.419,0.0,0.016,0.43956,256000
0.408,0.0,0.015,0.42578,257000
0.405,0.0,0.015,0.42321,258000
0.383,0.0,0.016,0.40068,259000
0.391,0.0,0.018,0.40915,260000
0.399,0.0,0.015,0.41653,261000
0.395,0.0,0.018,0.41313,262000
0.391,0.0,0.018,0.40827,263000
0.403,0.0,0.016,0.42069,264000
0.41,0.0,0.017,0.42895,265000
0.405,0.0,0.016,0.4241,266000
0.403,0.0,0.013,0.4222,267000
0.408,0.0,0.019,0.42885,268000
0.406,0.0,0.022,0.42678,269000
