loss_train,avg_winning,avg_score,step_idx,avg_diff
0.0,0.473,0.49653,210000,0.011
0.0,0.473,0.49562,211000,0.013
0.0,0.48,0.50337,212000,0.02
0.0,0.482,0.50674,213000,0.013
0.0,0.503,0.52881,214000,0.013
0.0,0.485,0.50975,215000,0.013
0.0,0.481,0.50679,216000,0.013
0.0,0.481,0.50584,217000,0.02
0.0,0.498,0.52333,218000,0.009
0.0,0.48,0.50417,219000,0.01
0.0,0.493,0.51682,220000,0.016
0.0,0.476,0.50069,221000,0.015
0.0,0.476,0.49936,222000,0.011
0.0,0.493,0.51674,223000,0.016
0.0,0.47,0.49454,224000,0.019
0.0,0.483,0.50707,225000,0.015
0.0,0.485,0.50887,226000,0.011
0.0,0.482,0.50653,227000,0.018
0.0,0.479,0.50404,228000,0.018
0.0,0.486,0.51055,229000,0.011
0.0,0.478,0.50186,230000,0.022
0.0,0.48,0.50329,231000,0.012
0.0,0.474,0.49721,232000,0.014
0.0,0.488,0.51202,233000,0.01
0.0,0.467,0.49151,234000,0.015
0.0,0.494,0.52168,235000,0.018
0.0,0.505,0.53351,236000,0.015
0.0,0.501,0.53002,237000,0.005
0.0,0.499,0.52789,238000,0.011
0.0,0.497,0.52626,239000,0.017
0.0,0.485,0.51237,240000,0.011
0.0,0.492,0.52149,241000,0.009
0.0,0.495,0.52445,242000,0.014
0.0,0.505,0.53429,243000,0.016
0.0,0.493,0.52314,244000,0.018
0.0,0.48,0.50957,245000,0.016
0.0,0.482,0.50948,246000,0.012
0.0,0.482,0.51025,247000,0.014
0.0,0.474,0.5022,248000,0.015
0.0,0.493,0.52189,249000,0.013
0.0,0.486,0.51421,250000,0.012
0.0,0.484,0.51243,251000,0.014
0.0,0.471,0.49887,252000,0.017
0.0,0.476,0.50431,253000,0.016
0.0,0.484,0.5134,254000,0.013
0.0,0.473,0.50155,255000,0.012
0.0,0.491,0.52033,256000,0.014
0.0,0.484,0.51462,257000,0.018
0.0,0.484,0.51474,258000,0.017
0.0,0.482,0.51193,259000,0.025
0.0,0.484,0.51237,260000,0.019
0.0,0.485,0.51314,261000,0.01
0.0,0.493,0.52135,262000,0.015
0.0,0.49,0.51724,263000,0.01
0.0,0.489,0.5145,264000,0.013
0.0,0.49,0.51515,265000,0.009
0.0,0.492,0.51731,266000,0.013
0.0,0.484,0.50776,267000,0.016
0.0,0.487,0.51198,268000,0.015
0.0,0.485,0.5109,269000,0.006
0.0,0.5,0.52434,270000,0.013
0.0,0.483,0.50713,271000,0.011
0.0,0.498,0.52265,272000,0.017
0.0,0.503,0.5292,273000,0.012
0.0,0.498,0.52351,274000,0.005
