step_idx,loss_train,avg_winning,avg_score,avg_diff
50000,0.0,0.231,0.25559,0.025
51000,0.0,0.225,0.24952,0.025
52000,0.0,0.223,0.24767,0.019
53000,0.0,0.224,0.25005,0.021
54000,0.0,0.237,0.26221,0.024
55000,0.0,0.241,0.26725,0.017
56000,0.0,0.239,0.26529,0.025
57000,0.0,0.218,0.24509,0.025
58000,0.0,0.233,0.26031,0.018
59000,0.0,0.224,0.25049,0.02
60000,0.0,0.23,0.25534,0.018
61000,0.0,0.215,0.23994,0.022
62000,0.0,0.224,0.2487,0.023
63000,0.0,0.233,0.25805,0.023
64000,0.0,0.245,0.2724,0.023
65000,0.0,0.245,0.27345,0.02
66000,0.0,0.232,0.25916,0.017
67000,0.0,0.221,0.24735,0.023
68000,0.0,0.224,0.2495,0.015
69000,0.0,0.233,0.25958,0.022
70000,0.0,0.237,0.26365,0.024
71000,0.0,0.242,0.26854,0.019
72000,0.0,0.24,0.26641,0.024
73000,0.0,0.247,0.27164,0.022
74000,0.0,0.234,0.25732,0.018
75000,0.0,0.249,0.27247,0.023
76000,0.0,0.253,0.27688,0.012
77000,0.0,0.252,0.27492,0.024
78000,0.0,0.253,0.27678,0.023
79000,0.0,0.277,0.30028,0.02
80000,0.0,0.275,0.298,0.019
81000,0.0,0.297,0.32198,0.017
82000,0.0,0.282,0.30598,0.022
83000,0.0,0.284,0.30873,0.02
84000,0.0,0.294,0.31726,0.019
85000,0.0,0.297,0.32005,0.024
86000,0.0,0.304,0.32763,0.012
87000,0.0,0.303,0.32737,0.022
88000,0.0,0.335,0.3592,0.023
89000,0.0,0.325,0.34928,0.021
90000,0.0,0.345,0.36939,0.018
91000,0.0,0.33,0.35347,0.022
92000,0.0,0.332,0.35493,0.02
93000,0.0,0.349,0.37094,0.017
94000,0.0,0.343,0.36671,0.02
95000,0.0,0.34,0.36385,0.022
96000,0.0,0.344,0.36855,0.018
97000,0.0,0.338,0.36264,0.021
98000,0.0,0.346,0.37038,0.031
99000,0.0,0.342,0.36578,0.021
100000,0.0,0.334,0.35845,0.014
101000,0.0,0.342,0.36582,0.017
102000,0.0,0.342,0.36508,0.018
103000,0.0,0.341,0.3635,0.024
104000,0.0,0.346,0.36805,0.022
105000,0.0,0.352,0.37479,0.018
106000,0.0,0.348,0.3709,0.018
107000,0.0,0.355,0.37815,0.015
108000,0.0,0.35,0.3725,0.016
109000,0.0,0.352,0.37326,0.012
110000,0.0,0.356,0.37741,0.019
111000,0.0,0.373,0.396,0.017
112000,0.0,0.346,0.36974,0.016
113000,0.0,0.356,0.37901,0.018
114000,0.0,0.362,0.38644,0.02
115000,0.0,0.329,0.35193,0.018
116000,0.0,0.337,0.36035,0.012
117000,0.0,0.342,0.36506,0.021
118000,0.0,0.336,0.35843,0.025
119000,0.0,0.358,0.38169,0.019
120000,0.0,0.387,0.40903,0.014
121000,0.0,0.371,0.39364,0.016
122000,0.0,0.347,0.3712,0.017
123000,0.0,0.361,0.38414,0.022
124000,0.0,0.367,0.3896,0.014
125000,0.0,0.374,0.39558,0.015
126000,0.0,0.368,0.3897,0.01
127000,0.0,0.37,0.39201,0.019
128000,0.0,0.367,0.3889,0.017
129000,0.0,0.349,0.3702,0.013
130000,0.0,0.356,0.37785,0.019
131000,0.0,0.337,0.35929,0.012
132000,0.0,0.335,0.35636,0.02
133000,0.0,0.331,0.35413,0.026
134000,0.0,0.324,0.34633,0.021
135000,0.0,0.32,0.3421,0.016
136000,0.0,0.322,0.34446,0.023
137000,0.0,0.296,0.31872,0.015
138000,0.0,0.319,0.34386,0.024
139000,0.0,0.301,0.32203,0.023
140000,0.0,0.314,0.33528,0.022
141000,0.0,0.305,0.3256,0.022
142000,0.0,0.349,0.36954,0.017
143000,0.0,0.338,0.35854,0.024
144000,0.0,0.336,0.35743,0.018
145000,0.0,0.331,0.35305,0.021
146000,0.0,0.334,0.35564,0.021
147000,0.0,0.344,0.36651,0.02
148000,0.0,0.329,0.35217,0.02
149000,0.0,0.331,0.35369,0.021
150000,0.0,0.341,0.36452,0.019
151000,0.0,0.31,0.33176,0.026
152000,0.0,0.329,0.35062,0.026
153000,0.0,0.329,0.35057,0.028
154000,0.0,0.326,0.34852,0.02
155000,0.0,0.335,0.35764,0.024
156000,0.0,0.352,0.37502,0.021
157000,0.0,0.346,0.36895,0.02
158000,0.0,0.348,0.37083,0.021
