avg_score,loss_train,avg_diff,step_idx,avg_winning
0.52395,0.0,0.01,298000,0.494
0.51159,0.0,0.02,299000,0.481
0.51889,0.0,0.015,300000,0.488
0.51122,0.0,0.017,301000,0.481
0.5211,0.0,0.009,302000,0.491
0.51646,0.0,0.01,303000,0.486
0.51695,0.0,0.014,304000,0.486
0.52213,0.0,0.009,305000,0.491
0.51562,0.0,0.017,306000,0.486
0.52561,0.0,0.019,307000,0.495
0.50405,0.0,0.013,308000,0.473
0.51032,0.0,0.009,309000,0.48
0.51457,0.0,0.013,310000,0.485
0.52215,0.0,0.01,311000,0.492
0.51409,0.0,0.017,312000,0.484
0.52321,0.0,0.012,313000,0.493
0.51242,0.0,0.017,314000,0.482
0.51372,0.0,0.011,315000,0.482
0.51929,0.0,0.014,316000,0.489
0.51603,0.0,0.015,317000,0.486
0.5099,0.0,0.01,318000,0.479
0.51999,0.0,0.013,319000,0.489
0.5188,0.0,0.014,320000,0.488
0.50561,0.0,0.016,321000,0.476
0.49329,0.0,0.022,322000,0.463
0.51988,0.0,0.016,323000,0.49
0.51057,0.0,0.023,324000,0.481
0.52317,0.0,0.024,325000,0.492
0.50336,0.0,0.016,326000,0.473
0.51806,0.0,0.022,327000,0.487
0.50679,0.0,0.016,328000,0.476
0.5045,0.0,0.02,329000,0.474
0.50721,0.0,0.013,330000,0.477
0.49352,0.0,0.018,331000,0.463
0.49525,0.0,0.018,332000,0.465
0.51201,0.0,0.019,333000,0.481
0.50569,0.0,0.025,334000,0.475
0.49652,0.0,0.013,335000,0.468
0.49376,0.0,0.014,336000,0.465
0.50948,0.0,0.026,337000,0.48
0.50653,0.0,0.012,338000,0.477
0.49996,0.0,0.018,339000,0.47
0.50652,0.0,0.01,340000,0.476
0.4871,0.0,0.016,341000,0.458
0.50444,0.0,0.014,342000,0.474
0.50604,0.0,0.005,343000,0.475
0.49307,0.0,0.02,344000,0.463
0.5115,0.0,0.017,345000,0.481
0.50631,0.0,0.018,346000,0.476
0.49771,0.0,0.013,347000,0.467
0.51845,0.0,0.02,348000,0.487
0.509,0.0,0.016,349000,0.477
0.50223,0.0,0.01,350000,0.471
0.50577,0.0,0.015,351000,0.474
0.48855,0.0,0.022,352000,0.458
0.48721,0.0,0.02,353000,0.457
0.48748,0.0,0.019,354000,0.458
0.49067,0.0,0.016,355000,0.461
0.49675,0.0,0.013,356000,0.466
0.49596,0.0,0.018,357000,0.466
0.51864,0.0,0.016,358000,0.488
0.50135,0.0,0.018,359000,0.471
0.50322,0.0,0.015,360000,0.473
0.49117,0.0,0.021,361000,0.461
0.4977,0.0,0.017,362000,0.469
0.49589,0.0,0.027,363000,0.467
0.50184,0.0,0.022,364000,0.473
0.50303,0.0,0.02,365000,0.475
0.49372,0.0,0.019,366000,0.466
0.50311,0.0,0.021,367000,0.475
0.49173,0.0,0.026,368000,0.464
0.49934,0.0,0.016,369000,0.471
0.49813,0.0,0.024,370000,0.47
0.49514,0.0,0.015,371000,0.466
0.51449,0.0,0.024,372000,0.485
0.51357,0.0,0.015,373000,0.484
0.5076,0.0,0.01,374000,0.479
0.50398,0.0,0.019,375000,0.475
0.49291,0.0,0.022,376000,0.464
0.51275,0.0,0.015,377000,0.484
0.48848,0.0,0.019,378000,0.459
0.50356,0.0,0.013,379000,0.474
0.50429,0.0,0.015,380000,0.475
0.49677,0.0,0.019,381000,0.468
0.49558,0.0,0.017,382000,0.467
0.50276,0.0,0.016,383000,0.474
0.51748,0.0,0.015,384000,0.489
0.50162,0.0,0.014,385000,0.474
0.50716,0.0,0.017,386000,0.479
0.5165,0.0,0.023,387000,0.487
0.50664,0.0,0.016,388000,0.478
0.49201,0.0,0.016,389000,0.463
0.50859,0.0,0.014,390000,0.479
0.513,0.0,0.018,391000,0.484
0.48855,0.0,0.016,392000,0.461
0.52141,0.0,0.013,393000,0.493
0.51399,0.0,0.014,394000,0.486
0.50911,0.0,0.016,395000,0.482
0.52421,0.0,0.016,396000,0.496
0.50994,0.0,0.017,397000,0.481
0.50419,0.0,0.012,398000,0.475
0.50414,0.0,0.011,399000,0.474
0.49925,0.0,0.015,400000,0.47
0.502,0.0,0.012,401000,0.473
0.51298,0.0,0.013,402000,0.484
0.51869,0.0,0.014,403000,0.489
0.50389,0.0,0.022,404000,0.475
0.49137,0.0,0.019,405000,0.463
0.5093,0.0,0.013,406000,0.481
0.5185,0.0,0.015,407000,0.489
0.50778,0.0,0.016,408000,0.479
0.51247,0.0,0.015,409000,0.484
0.50752,0.0,0.025,410000,0.479
0.50197,0.0,0.018,411000,0.473
0.51258,0.0,0.014,412000,0.484
0.50886,0.0,0.015,413000,0.481
0.49343,0.0,0.017,414000,0.466
0.51952,0.0,0.016,415000,0.491
0.50818,0.0,0.021,416000,0.479
0.52907,0.0,0.017,417000,0.499
0.51532,0.0,0.014,418000,0.485
0.51987,0.0,0.011,419000,0.49
0.51618,0.0,0.022,420000,0.486
0.52225,0.0,0.01,421000,0.493
0.52892,0.0,0.023,422000,0.499
0.52211,0.0,0.01,423000,0.492
0.51237,0.0,0.012,424000,0.484
0.52369,0.0,0.017,425000,0.495
0.50667,0.0,0.018,426000,0.478
0.50333,0.0,0.017,427000,0.475
0.5089,0.0,0.015,428000,0.481
0.49713,0.0,0.013,429000,0.469
0.51404,0.0,0.012,430000,0.486
0.51689,0.0,0.012,431000,0.488
0.5145,0.0,0.019,432000,0.486
0.51189,0.0,0.011,433000,0.484
0.49391,0.0,0.023,434000,0.466
0.49901,0.0,0.009,435000,0.472
0.5172,0.0,0.008,436000,0.49
0.51033,0.0,0.015,437000,0.483
0.49207,0.0,0.018,438000,0.463
0.50906,0.0,0.015,439000,0.481
0.51277,0.0,0.015,440000,0.485
0.50295,0.0,0.016,441000,0.475
0.50013,0.0,0.015,442000,0.472
