step_idx,avg_score,avg_winning,avg_diff,loss_train
211000,0.51053,0.466,0.028,0.0
212000,0.51903,0.475,0.021,0.0
213000,0.51863,0.475,0.022,0.0
214000,0.515,0.471,0.022,0.0
215000,0.51079,0.467,0.019,0.0
216000,0.51544,0.472,0.026,0.0
217000,0.51354,0.47,0.01,0.0
218000,0.52062,0.477,0.018,0.0
219000,0.52779,0.484,0.019,0.0
220000,0.52162,0.478,0.023,0.0
221000,0.53445,0.49,0.016,0.0
222000,0.50517,0.461,0.013,0.0
223000,0.50919,0.465,0.029,0.0
224000,0.52388,0.479,0.024,0.0
225000,0.52995,0.485,0.024,0.0
226000,0.51045,0.466,0.021,0.0
227000,0.50666,0.462,0.021,0.0
228000,0.51033,0.466,0.023,0.0
229000,0.51045,0.466,0.021,0.0
230000,0.50995,0.466,0.027,0.0
231000,0.52349,0.479,0.023,0.0
232000,0.52756,0.484,0.016,0.0
233000,0.50551,0.461,0.029,0.0
234000,0.51444,0.47,0.03,0.0
235000,0.51749,0.473,0.022,0.0
236000,0.5228,0.478,0.024,0.0
237000,0.51165,0.467,0.02,0.0
238000,0.51801,0.474,0.021,0.0
239000,0.5184,0.474,0.021,0.0
240000,0.51439,0.47,0.019,0.0
241000,0.51916,0.475,0.018,0.0
