dropout = 0.1
avg_score,avg_diff,avg_winning,loss_train,step_idx
0.47767,0.022,0.433,0.008,411000
0.50868,0.016,0.469,0.028,412000
0.48722,0.014,0.445,0.022,413000
0.48509,0.012,0.447,0.019,414000
0.51676,0.019,0.473,0.014,415000
0.48665,0.014,0.445,0.026,416000
0.47021,0.022,0.428,0.018,417000
0.47477,0.022,0.43,0.039,418000
0.49148,0.02,0.45,0.004,419000
0.51185,0.019,0.471,-0.003,420000
0.49923,0.01,0.456,0.026,421000
0.48663,0.01,0.448,0.002,422000
0.49571,0.009,0.46,0.022,423000
0.49295,0.01,0.451,0.021,424000
0.50423,0.011,0.467,0.008,425000
0.4977,0.017,0.456,0.022,426000
0.47147,0.015,0.428,0.022,427000
0.49499,0.026,0.454,0.016,428000
0.4902,0.016,0.453,0.03,429000
0.49023,0.011,0.451,0.031,430000
0.49755,0.012,0.46,0.034,431000
0.51684,0.018,0.478,0.017,432000
0.49352,0.017,0.45,0.012,433000
0.48382,0.019,0.446,0.025,434000
0.49097,0.019,0.461,0.013,435000
0.4744,0.014,0.433,0.012,436000
0.49955,0.023,0.457,0.024,437000
0.4865,0.008,0.445,0.015,438000
0.49401,0.016,0.451,0.02,439000
0.49109,0.01,0.447,0.024,440000
0.47179,0.017,0.428,0.011,441000
0.50898,0.015,0.47,0.004,442000
0.51104,0.008,0.466,0.02,443000
0.49016,0.013,0.448,0.013,444000
0.50416,0.025,0.465,0.035,445000
0.50757,0.011,0.468,0.012,446000
0.52738,0.009,0.486,0.011,447000
0.51467,0.01,0.478,0.019,448000
0.48373,0.012,0.438,0.023,449000
0.49208,0.015,0.451,0.023,450000
0.48852,0.014,0.445,0.024,451000
0.49417,0.011,0.455,0.013,452000
0.47634,0.011,0.453,0.009,453000
0.50506,0.016,0.465,0.032,454000
0.49451,0.015,0.453,0.033,455000
0.50315,0.015,0.468,0.013,456000
0.47487,0.015,0.434,0.026,457000
0.48064,0.008,0.439,0.008,458000
0.50033,0.019,0.465,-0.002,459000
0.48445,0.01,0.45,0.017,460000
0.51054,0.019,0.471,0.033,461000
0.49868,0.016,0.459,0.022,462000
0.5266,0.02,0.486,0.019,463000
0.49222,0.017,0.449,0.027,464000
0.48985,0.021,0.446,0.012,465000
0.48874,0.01,0.445,0.02,466000
0.4961,0.015,0.452,0.02,467000
0.48662,0.016,0.442,0.015,468000
0.51724,0.013,0.478,0.013,469000
0.50253,0.016,0.467,0.014,470000
0.50501,0.019,0.47,0.025,471000
0.51099,0.011,0.474,0.015,472000
0.49607,0.015,0.455,0.009,473000
0.49769,0.013,0.453,0.015,474000
0.49121,0.011,0.446,0.024,475000
0.46351,0.015,0.419,0.028,476000
0.49537,0.016,0.461,0.018,477000
0.50546,0.008,0.463,0.026,478000
0.50479,0.016,0.465,0.009,479000
0.47686,0.017,0.431,0.015,480000
0.46537,0.015,0.422,0.026,481000
0.50283,0.015,0.459,0.009,482000
0.49101,0.015,0.446,0.014,483000
0.49154,0.016,0.447,0.013,484000
0.50246,0.014,0.46,0.011,485000
0.5016,0.01,0.466,-0.007,486000
0.49521,0.023,0.454,0.006,487000
0.51359,0.014,0.472,0.017,488000
0.48823,0.019,0.445,0.022,489000
0.43349,0.017,0.39,0.009,490000
0.49345,0.015,0.457,0.01,491000
0.44805,0.009,0.404,0.027,492000
0.48549,0.008,0.44,0.017,493000
0.49133,0.007,0.452,0.008,494000
0.48229,0.009,0.443,0.021,495000
0.48629,0.007,0.447,0.023,496000
0.48783,0.015,0.446,0.03,497000
0.48392,0.013,0.439,0.014,498000
0.5063,0.017,0.474,0.017,499000
