avg_diff,avg_winning,loss_train,avg_score,step_idx
0.018,0.438,0.0,0.48282,276000
0.023,0.426,0.0,0.47112,277000
0.02,0.436,0.0,0.48142,278000
0.012,0.448,0.0,0.49118,279000
0.021,0.432,0.0,0.47705,280000
0.021,0.44,0.0,0.48484,281000
0.016,0.45,0.0,0.49551,282000
0.023,0.445,0.0,0.49021,283000
0.021,0.425,0.0,0.47089,284000
0.016,0.432,0.0,0.47744,285000
0.022,0.444,0.0,0.49037,286000
0.016,0.437,0.0,0.48359,287000
0.018,0.455,0.0,0.50145,288000
0.014,0.441,0.0,0.4886,289000
0.025,0.443,0.0,0.48946,290000
0.018,0.442,0.0,0.48857,291000
0.028,0.444,0.0,0.49008,292000
0.022,0.442,0.0,0.48861,293000
0.02,0.447,0.0,0.49325,294000
0.022,0.437,0.0,0.48272,295000
0.017,0.433,0.0,0.47857,296000
0.029,0.44,0.0,0.48333,297000
0.014,0.439,0.0,0.48564,298000
0.014,0.435,0.0,0.48045,299000
0.014,0.438,0.0,0.48364,300000
0.02,0.434,0.0,0.48,301000
0.013,0.429,0.0,0.47481,302000
0.026,0.434,0.0,0.47989,303000
0.023,0.427,0.0,0.4722,304000
0.02,0.431,0.0,0.47557,305000
0.021,0.418,0.0,0.46259,306000
0.023,0.443,0.0,0.48801,307000
0.021,0.431,0.0,0.47596,308000
0.022,0.43,0.0,0.47443,309000
0.019,0.429,0.0,0.47369,310000
0.017,0.424,0.0,0.46871,311000
0.007,0.434,0.0,0.4789,312000
0.016,0.428,0.0,0.47388,313000
0.01,0.438,0.0,0.48298,314000
0.028,0.425,0.0,0.47035,315000
0.016,0.422,0.0,0.46678,316000
0.02,0.421,0.0,0.46551,317000
0.012,0.449,0.0,0.49405,318000
0.018,0.455,0.0,0.49904,319000
0.022,0.451,0.0,0.49655,320000
0.02,0.45,0.0,0.49563,321000
0.024,0.442,0.0,0.4876,322000
0.017,0.458,0.0,0.50452,323000
0.017,0.468,0.0,0.51417,324000
0.017,0.455,0.0,0.50058,325000
0.019,0.449,0.0,0.49519,326000
0.015,0.453,0.0,0.49901,327000
0.015,0.458,0.0,0.49634,328000
0.016,0.446,0.0,0.49137,329000
0.021,0.432,0.0,0.47699,330000
0.028,0.453,0.0,0.49828,331000
0.023,0.468,0.0,0.51387,332000
0.019,0.465,0.0,0.51066,333000
0.022,0.46,0.0,0.50577,334000
0.02,0.46,0.0,0.50496,335000
0.017,0.453,0.0,0.49866,336000
0.015,0.459,0.0,0.50558,337000
0.023,0.455,0.0,0.50167,338000
0.017,0.461,0.0,0.50694,339000
0.011,0.463,0.0,0.50903,340000
0.031,0.462,0.0,0.50838,341000
0.02,0.493,0.0,0.54007,342000
0.019,0.468,0.0,0.51157,343000
0.015,0.469,0.0,0.51493,344000
0.01,0.449,0.0,0.49268,345000
0.009,0.453,0.0,0.49599,346000
0.015,0.447,0.0,0.49012,347000
0.012,0.46,0.0,0.50515,348000
0.012,0.485,0.0,0.53231,349000
0.02,0.488,0.0,0.53436,350000
0.018,0.473,0.0,0.51861,351000
0.013,0.477,0.0,0.5232,352000
0.018,0.488,0.0,0.5345,353000
0.013,0.469,0.0,0.51454,354000
0.01,0.48,0.0,0.5261,355000
0.006,0.478,0.0,0.52249,356000
0.015,0.478,0.0,0.52289,357000
0.02,0.436,0.0,0.48087,358000
0.008,0.472,0.0,0.51603,359000
0.012,0.475,0.0,0.5193,360000
