avg_score,avg_winning,loss_train,step_idx,avg_diff
0.5108,0.467,0.026,247000,0.018
0.47861,0.434,0.016,248000,0.015
0.47427,0.43,0.021,249000,0.018
0.46004,0.416,0.022,250000,0.02
0.4865,0.441,0.016,251000,0.012
0.49112,0.446,0.011,252000,0.027
0.48016,0.436,0.022,253000,0.024
0.47602,0.433,0.021,254000,0.021
0.48293,0.439,0.024,255000,0.014
0.49344,0.448,0.03,256000,0.017
