step_idx,loss_train,avg_score,avg_winning,avg_diff
61000,0.002,0.50582,0.477,0.041
62000,0.007,0.54208,0.51,0.025
63000,-0.002,0.53171,0.502,0.022
64000,0.002,0.46434,0.439,0.034
65000,-0.011,0.47943,0.453,0.039
66000,-0.001,0.56062,0.528,0.027
67000,-0.011,0.57412,0.542,0.021
68000,-0.009,0.38942,0.37,0.032
69000,-0.004,0.53545,0.507,0.027
70000,-0.016,0.54599,0.516,0.021
71000,-0.01,0.58105,0.546,0.023
72000,-0.013,0.61312,0.577,0.022
73000,-0.001,0.59792,0.562,0.02
74000,0.001,0.57414,0.539,0.025
75000,0.004,0.57918,0.545,0.014
76000,-0.008,0.5702,0.537,0.027
77000,-0.013,0.59631,0.561,0.018
78000,-0.004,0.583,0.548,0.029
79000,-0.013,0.59712,0.562,0.017
80000,-0.003,0.60208,0.567,0.027
81000,-0.008,0.61067,0.574,0.023
82000,-0.01,0.59718,0.562,0.019
83000,-0.007,0.59109,0.556,0.025
84000,-0.013,0.59216,0.558,0.025
85000,-0.012,0.6134,0.577,0.018
86000,-0.005,0.6035,0.569,0.019
87000,-0.003,0.60644,0.571,0.014
88000,-0.01,0.58912,0.554,0.021
89000,-0.017,0.58661,0.552,0.015
90000,-0.007,0.58238,0.549,0.02
91000,-0.008,0.61593,0.58,0.022
92000,-0.007,0.58546,0.553,0.021
93000,-0.01,0.56246,0.533,0.029
94000,-0.012,0.56261,0.533,0.017
95000,-0.014,0.60534,0.57,0.022
96000,-0.005,0.59907,0.564,0.016
97000,-0.008,0.58147,0.549,0.018
98000,-0.011,0.59718,0.563,0.021
99000,-0.013,0.60792,0.572,0.018
100000,-0.005,0.60382,0.568,0.018
101000,-0.011,0.58887,0.557,0.016
102000,-0.006,0.61482,0.578,0.018
103000,-0.009,0.60021,0.564,0.023
104000,-0.012,0.55502,0.521,0.02
105000,-0.005,0.59932,0.564,0.024
106000,-0.018,0.56238,0.53,0.022
107000,-0.002,0.61817,0.581,0.019
108000,-0.008,0.61349,0.577,0.021
109000,-0.014,0.60098,0.566,0.023
110000,-0.009,0.61186,0.577,0.02
111000,-0.013,0.60835,0.571,0.022
112000,-0.006,0.61476,0.578,0.023
113000,-0.008,0.55157,0.522,0.016
114000,-0.019,0.59194,0.559,0.02
115000,-0.018,0.61342,0.578,0.021
116000,-0.021,0.61938,0.583,0.01
117000,0.001,0.61034,0.574,0.017
118000,-0.022,0.59164,0.558,0.022
119000,-0.012,0.59822,0.563,0.024
120000,-0.006,0.60045,0.566,0.011
121000,-0.021,0.57072,0.539,0.012
122000,-0.01,0.54571,0.516,0.016
123000,-0.01,0.55048,0.518,0.022
124000,-0.014,0.57838,0.545,0.019
125000,-0.012,0.50539,0.479,0.018
126000,-0.022,0.56166,0.529,0.011
127000,-0.003,0.59899,0.564,0.008
128000,-0.017,0.51818,0.492,0.017
129000,-0.014,0.56349,0.533,0.028
130000,-0.007,0.57423,0.541,0.021
131000,-0.008,0.57407,0.541,0.015
132000,-0.01,0.57206,0.539,0.019
133000,-0.008,0.59815,0.563,0.017
134000,-0.011,0.55517,0.523,0.028
135000,-0.018,0.52978,0.498,0.029
136000,-0.005,0.54721,0.514,0.026
137000,-0.007,0.59427,0.559,0.024
138000,-0.007,0.56156,0.527,0.019
139000,0.001,0.58161,0.546,0.014
140000,-0.007,0.52944,0.497,0.029
141000,-0.012,0.54791,0.515,0.02
142000,-0.019,0.55247,0.521,0.021
143000,-0.009,0.54996,0.517,0.03
144000,-0.01,0.54235,0.511,0.022
145000,-0.006,0.55849,0.526,0.021
146000,0.006,0.57192,0.539,0.019
147000,-0.013,0.56677,0.532,0.019
148000,-0.019,0.5531,0.521,0.015
149000,0.001,0.56581,0.531,0.02
150000,-0.017,0.54236,0.51,0.014
151000,-0.003,0.57401,0.54,0.019
152000,-0.005,0.55975,0.527,0.023
153000,-0.005,0.55514,0.523,0.024
154000,-0.003,0.59833,0.562,0.016
155000,-0.016,0.54729,0.515,0.018
156000,-0.011,0.57578,0.541,0.024
157000,0.002,0.55325,0.52,0.031
158000,-0.021,0.52097,0.491,0.021
159000,-0.007,0.56761,0.532,0.034
160000,-0.017,0.55791,0.524,0.029
161000,0.004,0.56074,0.526,0.019
162000,-0.005,0.56949,0.534,0.03
163000,-0.013,0.52424,0.499,0.025
164000,-0.003,0.57163,0.537,0.021
165000,-0.019,0.56772,0.535,0.018
166000,-0.001,0.56037,0.529,0.027
167000,-0.006,0.5652,0.532,0.026
168000,-0.004,0.5483,0.521,0.025
169000,0.0,0.57664,0.543,0.028
170000,-0.008,0.57885,0.546,0.013
171000,-0.013,0.58159,0.55,0.015
172000,0.008,0.57968,0.546,0.013
173000,-0.013,0.57984,0.547,0.012
174000,-0.003,0.57777,0.542,0.019
175000,-0.014,0.59327,0.559,0.02
176000,-0.006,0.58614,0.553,0.017
177000,-0.011,0.57661,0.543,0.025
178000,-0.013,0.57008,0.538,0.021
179000,-0.012,0.59598,0.562,0.025
180000,-0.005,0.55871,0.526,0.019
181000,-0.002,0.58758,0.554,0.026
182000,-0.011,0.58318,0.549,0.012
183000,-0.007,0.5636,0.529,0.02
184000,-0.008,0.53753,0.504,0.015
185000,-0.007,0.54711,0.514,0.015
186000,-0.009,0.54278,0.512,0.024
187000,-0.002,0.55728,0.525,0.027
188000,-0.007,0.53895,0.508,0.023
189000,-0.018,0.53445,0.501,0.026
190000,-0.007,0.54993,0.515,0.025
191000,-0.023,0.53057,0.498,0.027
192000,-0.002,0.54708,0.513,0.02
193000,0.001,0.56884,0.534,0.026
194000,-0.011,0.55677,0.522,0.025
195000,-0.009,0.58589,0.549,0.017
196000,-0.015,0.60119,0.565,0.023
197000,-0.012,0.58369,0.548,0.023
198000,-0.01,0.60175,0.566,0.021
199000,-0.012,0.56894,0.535,0.02
200000,-0.007,0.54008,0.508,0.036
201000,-0.005,0.58375,0.548,0.014
202000,-0.012,0.55133,0.522,0.029
203000,-0.007,0.56201,0.532,0.025
204000,-0.001,0.57454,0.541,0.025
205000,-0.006,0.54121,0.51,0.03
206000,-0.012,0.55834,0.524,0.026
207000,-0.016,0.54236,0.513,0.033
208000,-0.002,0.55077,0.52,0.034
209000,-0.006,0.56438,0.535,0.024
210000,-0.01,0.57702,0.545,0.025
211000,-0.008,0.58566,0.554,0.023
212000,0.002,0.58871,0.554,0.034
213000,-0.013,0.5802,0.546,0.024
214000,0.001,0.59706,0.565,0.027
215000,-0.009,0.5926,0.559,0.023
216000,-0.006,0.56388,0.533,0.028
217000,-0.007,0.56311,0.533,0.035
218000,-0.01,0.56349,0.532,0.031
219000,-0.01,0.56811,0.537,0.031
220000,-0.007,0.57625,0.547,0.028
221000,-0.008,0.57235,0.544,0.025
222000,0.001,0.59291,0.561,0.017
223000,-0.005,0.62329,0.59,0.016
224000,-0.011,0.59772,0.563,0.026
225000,-0.005,0.56831,0.539,0.027
226000,0.002,0.58174,0.55,0.016
227000,-0.003,0.58963,0.56,0.018
228000,-0.011,0.5891,0.559,0.02
229000,-0.0,0.58408,0.555,0.034
230000,-0.001,0.59886,0.566,0.016
231000,-0.011,0.58102,0.55,0.016
232000,0.0,0.58864,0.558,0.012
233000,-0.011,0.57256,0.543,0.009
234000,-0.009,0.58258,0.554,0.028
235000,-0.007,0.56969,0.542,0.025
236000,0.0,0.61179,0.578,0.014
237000,-0.01,0.60684,0.575,0.024
238000,0.008,0.58672,0.555,0.02
239000,-0.008,0.59075,0.561,0.029
240000,-0.003,0.6185,0.584,0.02
241000,-0.007,0.59142,0.565,0.023
242000,0.003,0.622,0.59,0.03
243000,-0.012,0.59624,0.566,0.016
244000,-0.001,0.58934,0.558,0.03
245000,-0.014,0.60123,0.568,0.021
246000,-0.008,0.56387,0.536,0.02
247000,-0.004,0.59549,0.564,0.029
248000,-0.007,0.59303,0.563,0.023
249000,-0.002,0.59734,0.566,0.024
250000,-0.009,0.59145,0.564,0.015
251000,-0.0,0.59468,0.562,0.019
252000,-0.016,0.59091,0.562,0.021
253000,-0.004,0.60734,0.573,0.028
254000,-0.01,0.58716,0.556,0.027
255000,-0.005,0.59706,0.565,0.021
256000,-0.019,0.58572,0.554,0.024
257000,-0.012,0.61459,0.587,0.024
258000,0.004,0.59684,0.565,0.026
259000,-0.005,0.59424,0.562,0.03
260000,-0.01,0.58604,0.559,0.016
261000,0.003,0.60012,0.571,0.022
262000,0.002,0.59956,0.571,0.029
263000,-0.006,0.61726,0.585,0.025
264000,-0.008,0.60737,0.576,0.024
265000,-0.011,0.58811,0.558,0.025
266000,-0.012,0.59607,0.563,0.015
267000,-0.012,0.58182,0.552,0.043
268000,-0.016,0.58846,0.558,0.025
269000,-0.009,0.57964,0.551,0.027
270000,-0.007,0.58699,0.563,0.036
271000,-0.003,0.59965,0.572,0.043
272000,-0.0,0.58959,0.56,0.031
273000,-0.008,0.58428,0.551,0.025
274000,-0.004,0.58346,0.553,0.018
275000,-0.014,0.56483,0.534,0.032
276000,-0.007,0.5949,0.562,0.024
277000,-0.013,0.56886,0.54,0.026
278000,-0.005,0.595,0.561,0.024
279000,-0.004,0.59643,0.565,0.031
280000,0.003,0.60399,0.569,0.027
281000,0.0,0.59512,0.559,0.016
282000,-0.008,0.58389,0.549,0.027
283000,-0.011,0.60833,0.573,0.025
284000,-0.013,0.59131,0.558,0.024
285000,-0.008,0.59104,0.559,0.021
286000,-0.011,0.58586,0.552,0.022
287000,-0.009,0.60952,0.574,0.013
288000,-0.006,0.59179,0.563,0.029
289000,-0.0,0.58972,0.557,0.014
290000,-0.01,0.59376,0.561,0.014
291000,-0.009,0.60775,0.575,0.014
292000,-0.019,0.5881,0.559,0.025
293000,0.001,0.57409,0.544,0.018
294000,0.004,0.61394,0.578,0.015
295000,-0.011,0.60581,0.572,0.025
296000,-0.005,0.58931,0.556,0.026
297000,-0.0,0.59417,0.558,0.017
298000,-0.008,0.58904,0.554,0.025
299000,0.002,0.60288,0.566,0.023
300000,-0.003,0.60015,0.564,0.02
301000,-0.007,0.59338,0.558,0.012
302000,-0.009,0.56795,0.534,0.017
303000,-0.012,0.56123,0.528,0.027
304000,-0.013,0.56127,0.528,0.038
305000,-0.003,0.60107,0.565,0.023
306000,-0.026,0.57178,0.543,0.024
307000,0.004,0.5667,0.533,0.007
308000,-0.016,0.58524,0.553,0.018
309000,-0.01,0.60194,0.569,0.026
310000,0.002,0.57752,0.544,0.02
311000,0.004,0.5789,0.543,0.026
312000,-0.003,0.58145,0.547,0.032
313000,-0.01,0.59165,0.557,0.02
314000,-0.001,0.59836,0.565,0.018
315000,-0.009,0.6107,0.578,0.021
316000,0.003,0.60151,0.568,0.015
317000,-0.005,0.60185,0.569,0.019
318000,-0.017,0.57848,0.553,0.025
319000,-0.006,0.60176,0.569,0.022
320000,-0.0,0.59069,0.556,0.023
321000,-0.023,0.58402,0.556,0.025
322000,0.009,0.59977,0.566,0.033
323000,-0.02,0.60292,0.569,0.03
324000,-0.005,0.61087,0.579,0.038
325000,0.0,0.6059,0.572,0.037
326000,0.002,0.60837,0.575,0.022
327000,0.001,0.60903,0.573,0.014
328000,-0.005,0.59834,0.561,0.016
329000,0.002,0.6121,0.576,0.023
330000,-0.0,0.58996,0.555,0.022
331000,0.002,0.60757,0.572,0.017
332000,-0.025,0.59548,0.563,0.027
333000,0.003,0.60115,0.568,0.021
334000,-0.006,0.61461,0.58,0.024
335000,-0.002,0.6188,0.582,0.023
336000,-0.018,0.59818,0.57,0.021
337000,-0.015,0.61961,0.584,0.03
338000,-0.006,0.63117,0.596,0.02
339000,0.002,0.63144,0.594,0.011
340000,0.005,0.61598,0.58,0.02
341000,-0.011,0.61793,0.585,0.017
342000,-0.001,0.61783,0.582,0.021
343000,-0.012,0.62375,0.587,0.017
344000,-0.008,0.62896,0.594,0.032
345000,-0.015,0.60274,0.573,0.027
346000,-0.008,0.61239,0.581,0.021
347000,-0.01,0.6077,0.578,0.017
348000,-0.011,0.61829,0.585,0.021
349000,-0.011,0.62325,0.591,0.024
350000,-0.0,0.6125,0.582,0.021
351000,-0.005,0.61341,0.582,0.024
352000,-0.014,0.60938,0.579,0.03
353000,0.002,0.59506,0.56,0.023
354000,-0.015,0.58468,0.554,0.022
355000,-0.01,0.61557,0.585,0.02
356000,-0.001,0.61563,0.585,0.019
357000,0.005,0.61003,0.578,0.013
358000,-0.014,0.59383,0.564,0.015
359000,-0.004,0.59923,0.563,0.02
360000,-0.007,0.61719,0.581,0.031
361000,-0.005,0.59375,0.562,0.023
362000,-0.017,0.61537,0.583,0.024
363000,-0.007,0.61336,0.582,0.027
364000,-0.013,0.57502,0.55,0.027
365000,-0.008,0.59279,0.562,0.022
366000,-0.01,0.57762,0.55,0.011
367000,-0.0,0.5926,0.561,0.021
368000,-0.012,0.5882,0.553,0.02
369000,-0.015,0.59955,0.564,0.018
370000,-0.01,0.59078,0.561,0.028
371000,-0.009,0.6012,0.568,0.017
372000,-0.0,0.58455,0.553,0.02
373000,-0.007,0.59439,0.565,0.024
374000,0.002,0.58445,0.549,0.01
375000,0.0,0.60475,0.572,0.025
376000,-0.016,0.57893,0.551,0.025
377000,-0.009,0.59208,0.559,0.017
378000,-0.002,0.59092,0.557,0.018
379000,-0.021,0.59268,0.56,0.025
380000,-0.006,0.58049,0.547,0.035
381000,-0.011,0.58129,0.55,0.035
382000,-0.016,0.57726,0.545,0.027
383000,-0.002,0.57782,0.547,0.027
384000,0.006,0.59689,0.564,0.03
385000,-0.01,0.57869,0.545,0.024
386000,-0.009,0.60443,0.571,0.027
387000,-0.01,0.58903,0.556,0.017
388000,-0.013,0.60007,0.565,0.027
389000,0.002,0.59633,0.56,0.026
390000,-0.002,0.57323,0.538,0.016
391000,0.002,0.58533,0.549,0.024
392000,-0.014,0.5861,0.552,0.026
393000,-0.011,0.58008,0.545,0.025
394000,-0.008,0.57731,0.541,0.016
395000,-0.016,0.58554,0.551,0.017
396000,-0.005,0.58625,0.55,0.022
397000,0.0,0.58063,0.545,0.018
398000,-0.007,0.56294,0.531,0.02
399000,0.003,0.58648,0.551,0.021
400000,-0.026,0.56829,0.537,0.021
401000,0.004,0.53927,0.508,0.021
402000,-0.012,0.5557,0.523,0.015
403000,0.001,0.56234,0.529,0.016
404000,-0.003,0.57061,0.539,0.022
405000,-0.002,0.5557,0.523,0.021
406000,-0.009,0.56553,0.535,0.032
407000,-0.003,0.56671,0.534,0.029
408000,-0.014,0.56934,0.541,0.012
409000,-0.006,0.59435,0.564,0.026
410000,0.004,0.56766,0.536,0.02
411000,0.003,0.55494,0.523,0.04
412000,-0.005,0.55444,0.523,0.032
413000,-0.013,0.56191,0.535,0.029
414000,0.005,0.57725,0.546,0.019
415000,-0.02,0.57035,0.546,0.025
416000,-0.016,0.56225,0.534,0.021
417000,-0.011,0.58663,0.555,0.02
418000,-0.015,0.56028,0.528,0.033
419000,-0.01,0.58116,0.55,0.033
420000,0.012,0.56428,0.532,0.026
421000,-0.005,0.55021,0.517,0.029
422000,-0.005,0.58401,0.551,0.021
423000,-0.002,0.55848,0.526,0.03
424000,-0.007,0.58176,0.55,0.019
425000,-0.006,0.58116,0.548,0.016
426000,-0.003,0.58441,0.551,0.02
427000,-0.012,0.58711,0.555,0.008
428000,-0.001,0.56443,0.531,0.012
429000,-0.015,0.58848,0.555,0.008
430000,-0.009,0.57255,0.54,0.008
431000,-0.005,0.60367,0.573,0.032
432000,-0.008,0.59046,0.559,0.019
433000,-0.01,0.59489,0.565,0.029
434000,-0.006,0.59412,0.569,0.015
435000,-0.006,0.57873,0.548,0.013
436000,-0.001,0.57581,0.543,0.029
437000,-0.006,0.58857,0.555,0.022
438000,-0.028,0.59326,0.562,0.02
439000,-0.006,0.5885,0.554,0.016
440000,-0.007,0.60676,0.575,0.023
441000,-0.008,0.59575,0.564,0.014
442000,-0.007,0.61564,0.581,0.024
443000,-0.007,0.57886,0.546,0.015
444000,-0.008,0.57568,0.544,0.014
445000,-0.005,0.58314,0.551,0.03
446000,-0.01,0.55586,0.522,0.015
447000,-0.004,0.55866,0.524,0.021
448000,-0.015,0.58731,0.552,0.025
449000,-0.016,0.58209,0.547,0.023
450000,-0.014,0.56759,0.534,0.033
451000,-0.013,0.57613,0.544,0.019
452000,-0.005,0.57442,0.54,0.021
453000,-0.017,0.57828,0.545,0.01
454000,0.001,0.56522,0.531,0.009
455000,-0.009,0.58283,0.551,0.013
456000,-0.007,0.5882,0.561,0.023
457000,-0.005,0.58078,0.55,0.024
458000,-0.008,0.60263,0.575,0.019
459000,-0.009,0.59805,0.574,0.022
460000,-0.005,0.58956,0.56,0.014
461000,-0.012,0.58896,0.559,0.029
462000,-0.013,0.58325,0.552,0.028
463000,-0.001,0.60486,0.572,0.02
464000,0.002,0.58311,0.55,0.015
465000,0.001,0.58061,0.545,0.032
466000,-0.009,0.58758,0.554,0.024
467000,-0.006,0.5948,0.563,0.02
468000,-0.014,0.60479,0.575,0.029
469000,-0.007,0.60852,0.576,0.019
470000,-0.008,0.6048,0.572,0.029
471000,-0.011,0.59462,0.566,0.024
472000,0.002,0.61406,0.583,0.012
473000,-0.0,0.61404,0.578,0.027
474000,-0.023,0.61343,0.583,0.017
475000,-0.008,0.60784,0.574,0.021
476000,0.004,0.56419,0.529,0.031
477000,-0.003,0.58772,0.553,0.015
478000,-0.007,0.59105,0.561,0.024
479000,-0.012,0.59254,0.562,0.027
480000,-0.01,0.58276,0.549,0.021
481000,-0.008,0.57456,0.542,0.024
482000,-0.009,0.59204,0.557,0.005
483000,-0.011,0.58615,0.552,0.014
484000,-0.02,0.59237,0.558,0.024
485000,0.01,0.5753,0.541,0.017
486000,-0.016,0.585,0.55,0.016
487000,-0.012,0.57092,0.536,0.016
488000,-0.011,0.5872,0.554,0.034
489000,0.01,0.59767,0.565,0.022
490000,-0.001,0.594,0.56,0.025
491000,0.0,0.57707,0.544,0.018
492000,-0.003,0.56298,0.529,0.022
493000,-0.003,0.60263,0.566,0.025
494000,0.001,0.58786,0.552,0.033
495000,-0.022,0.5907,0.558,0.02
496000,-0.004,0.57113,0.538,0.029
497000,-0.006,0.599,0.567,0.031
498000,0.008,0.58595,0.552,0.029
499000,0.01,0.60752,0.576,0.029
