loss_train,step_idx,avg_diff,avg_winning,avg_score
0.016,270000,0.011,0.475,0.51769
0.003,271000,0.018,0.486,0.52818
-0.004,272000,0.022,0.501,0.54388
0.02,273000,0.018,0.489,0.53155
0.006,274000,0.02,0.484,0.52711
0.01,275000,0.018,0.466,0.50869
0.012,276000,0.013,0.483,0.52568
0.018,277000,0.014,0.474,0.51696
0.016,278000,0.02,0.456,0.49823
0.004,279000,0.012,0.488,0.53061
0.003,280000,0.016,0.462,0.50493
0.018,281000,0.02,0.468,0.51065
0.008,282000,0.021,0.452,0.49454
0.003,283000,0.022,0.437,0.47862
0.005,284000,0.009,0.45,0.49131
0.015,285000,0.018,0.451,0.49374
0.015,286000,0.011,0.416,0.44688
0.038,287000,0.016,0.469,0.50565
0.03,288000,0.019,0.475,0.51847
0.02,289000,0.023,0.446,0.48752
0.008,290000,0.024,0.512,0.55597
0.001,291000,0.023,0.443,0.48557
