step_idx,avg_winning,avg_diff,avg_score,loss_train
271000,0.459,0.019,0.50503,0.012
272000,0.468,0.022,0.51112,0.019
273000,0.468,0.014,0.51248,0.014
274000,0.457,0.016,0.50225,0.013
275000,0.493,0.019,0.53673,0.011
276000,0.496,0.023,0.54091,0.016
277000,0.47,0.027,0.50876,0.018
278000,0.465,0.016,0.49908,0.025
279000,0.476,0.012,0.52009,0.02
280000,0.465,0.021,0.51008,0.02
281000,0.442,0.019,0.48587,0.003
282000,0.459,0.014,0.49681,0.013
283000,0.456,0.013,0.49772,0.024
284000,0.477,0.017,0.51993,0.015
285000,0.45,0.022,0.49479,0.026
286000,0.431,0.02,0.47525,0.003
287000,0.481,0.017,0.52466,0.002
288000,0.466,0.022,0.50628,0.028
289000,0.47,0.016,0.51594,0.028
290000,0.476,0.022,0.51938,0.017
291000,0.449,0.015,0.49326,0.031
292000,0.475,0.017,0.51879,0.023
293000,0.466,0.02,0.51184,0.028
294000,0.468,0.019,0.50875,0.02
295000,0.459,0.022,0.50058,0.013
296000,0.481,0.021,0.51686,0.017
297000,0.471,0.02,0.50923,0.023
298000,0.471,0.02,0.51478,0.016
299000,0.457,0.018,0.50211,0.017
300000,0.443,0.022,0.4879,0.022
301000,0.445,0.024,0.48956,0.012
302000,0.448,0.021,0.49292,0.015
303000,0.463,0.017,0.50336,0.013
304000,0.442,0.024,0.48723,0.012
305000,0.457,0.019,0.50051,0.029
306000,0.451,0.021,0.49434,0.016
307000,0.455,0.028,0.5003,0.02
308000,0.452,0.019,0.49776,0.011
309000,0.437,0.014,0.4821,0.012
310000,0.447,0.028,0.49294,0.016
311000,0.438,0.015,0.4809,0.013
312000,0.479,0.016,0.523,0.005
313000,0.481,0.023,0.50599,0.015
314000,0.459,0.014,0.50409,0.034
315000,0.485,0.012,0.53161,0.02
316000,0.443,0.021,0.48953,0.017
317000,0.448,0.02,0.49399,0.007
318000,0.451,0.022,0.49572,0.018
319000,0.433,0.014,0.47375,0.019
320000,0.443,0.014,0.48737,0.026
321000,0.444,0.015,0.48966,0.021
322000,0.457,0.024,0.50253,0.012
323000,0.441,0.024,0.48718,0.017
324000,0.453,0.01,0.48907,0.016
325000,0.461,0.021,0.50881,0.017
326000,0.417,0.031,0.46271,0.005
327000,0.414,0.032,0.46026,0.018
328000,0.455,0.016,0.50249,0.008
329000,0.475,0.022,0.52133,0.014
330000,0.444,0.02,0.49207,0.027
331000,0.453,0.02,0.49979,0.004
332000,0.442,0.021,0.48955,0.025
333000,0.488,0.025,0.53628,0.011
334000,0.439,0.013,0.48468,0.009
335000,0.457,0.018,0.49744,0.011
336000,0.453,0.015,0.49742,0.024
337000,0.453,0.019,0.49809,0.014
338000,0.452,0.023,0.49213,0.014
339000,0.452,0.023,0.4968,0.025
340000,0.451,0.021,0.49698,0.015
341000,0.452,0.018,0.49179,0.026
342000,0.438,0.025,0.48457,0.033
343000,0.46,0.024,0.50474,0.002
344000,0.437,0.015,0.48297,0.034
345000,0.45,0.019,0.49514,0.016
346000,0.435,0.021,0.47913,0.019
347000,0.444,0.021,0.48804,0.014
348000,0.443,0.015,0.48864,0.005
349000,0.462,0.014,0.50707,0.014
350000,0.443,0.016,0.48986,0.025
351000,0.447,0.023,0.49462,0.017
352000,0.454,0.019,0.50151,0.012
353000,0.46,0.013,0.5062,0.024
354000,0.455,0.014,0.50316,0.012
355000,0.486,0.008,0.5329,0.017
356000,0.46,0.016,0.50731,0.028
357000,0.452,0.02,0.50015,0.014
358000,0.442,0.019,0.49015,0.016
359000,0.429,0.019,0.47663,0.023
360000,0.441,0.02,0.48834,0.011
361000,0.456,0.016,0.50212,0.012
362000,0.472,0.019,0.51843,0.009
363000,0.467,0.015,0.51163,0.017
364000,0.455,0.016,0.50145,0.013
365000,0.441,0.016,0.48709,0.004
366000,0.459,0.015,0.50363,0.016
367000,0.472,0.015,0.51433,0.008
368000,0.448,0.019,0.49144,0.023
369000,0.473,0.023,0.51622,0.021
370000,0.449,0.019,0.49135,0.017
371000,0.438,0.016,0.48499,0.018
372000,0.473,0.016,0.51256,0.016
373000,0.422,0.01,0.46825,0.017
374000,0.441,0.021,0.48729,0.019
