step_idx,loss_train,avg_score,avg_winning,avg_diff
376000,-0.007,0.4265,0.387,0.021
377000,0.008,0.43398,0.394,0.021
378000,0.01,0.48404,0.444,0.028
379000,0.008,0.45203,0.412,0.025
380000,0.004,0.43626,0.396,0.028
381000,0.008,0.48807,0.45,0.035
382000,0.026,0.48118,0.443,0.031
383000,0.007,0.4634,0.425,0.029
384000,0.014,0.45388,0.414,0.025
385000,0.004,0.472,0.431,0.019
386000,0.019,0.45441,0.413,0.019
387000,-0.01,0.47093,0.431,0.039
388000,0.014,0.4391,0.399,0.024
389000,0.016,0.42944,0.39,0.019
390000,0.02,0.4657,0.425,0.031
391000,0.012,0.47157,0.43,0.023
392000,0.009,0.47478,0.434,0.029
393000,0.023,0.46942,0.43,0.021
394000,0.017,0.42835,0.389,0.014
395000,0.015,0.45545,0.415,0.022
396000,0.009,0.46749,0.427,0.028
397000,0.015,0.45434,0.414,0.022
398000,0.003,0.48442,0.444,0.024
399000,0.012,0.49289,0.453,0.025
400000,0.011,0.47025,0.43,0.021
401000,0.014,0.46914,0.43,0.018
402000,-0.011,0.49203,0.453,0.014
403000,0.026,0.47246,0.433,0.02
404000,0.013,0.45719,0.418,0.016
405000,0.019,0.46375,0.424,0.018
406000,0.006,0.47706,0.438,0.022
407000,0.009,0.46946,0.429,0.02
408000,0.0,0.46907,0.429,0.023
409000,-0.001,0.45758,0.419,0.027
410000,-0.007,0.4763,0.437,0.018
411000,0.011,0.4594,0.419,0.028
412000,0.008,0.4691,0.429,0.02
413000,0.016,0.47525,0.436,0.018
