avg_score,avg_score_no,avg_diff,step_idx,avg_winning,loss_train
0.47241,0.04241,0.025,53700,0.43,-0.025
0.47338,0.04338,0.025,54000,0.43,-0.005
0.47865,0.04365,0.035,54300,0.435,0.004
0.47934,0.04434,0.04,54600,0.435,-0.033
0.44771,0.04271,0.04,54900,0.405,-0.014
0.45815,0.04315,0.025,55200,0.415,-0.02
0.42614,0.04114,0.01,55500,0.385,0.013
0.46868,0.03868,0.01,55800,0.43,0.019
0.45748,0.04248,0.025,56100,0.415,0.021
0.47314,0.04314,0.03,56400,0.43,-0.033
0.46842,0.04342,0.035,56700,0.425,-0.035
0.47387,0.04387,0.02,57000,0.43,-0.007
0.48893,0.04393,0.035,57300,0.445,0.003
0.49873,0.04373,0.035,57600,0.455,-0.023
0.46342,0.04342,0.03,57900,0.42,-0.021
0.47166,0.04166,0.035,58200,0.43,0.022
0.47148,0.04148,0.035,58500,0.43,0.004
0.48821,0.04321,0.035,58800,0.445,0.029
0.47449,0.04449,0.015,59100,0.43,-0.005
0.49519,0.04519,0.01,59400,0.45,0.016
0.49369,0.04369,0.02,59700,0.45,0.008
0.4896,0.0446,0.01,60000,0.445,0.037
0.4986,0.0436,0.025,60300,0.455,-0.01
0.4828,0.0428,0.025,60600,0.44,0.006
0.49806,0.04306,0.015,60900,0.455,-0.034
0.51348,0.04348,0.015,61200,0.47,-0.02
0.49708,0.04208,0.025,61500,0.455,-0.001
0.49423,0.04423,0.025,61800,0.45,-0.034
0.50841,0.04341,0.02,62100,0.465,0.004
0.50963,0.04463,0.03,62400,0.465,-0.011
0.50928,0.04428,0.035,62700,0.465,0.013
0.51061,0.04561,0.025,63000,0.465,-0.008
0.49923,0.04423,0.02,63300,0.455,-0.014
0.50899,0.04399,0.035,63600,0.465,0.029
0.505,0.045,0.015,63900,0.46,-0.01
0.48481,0.04481,0.015,64200,0.44,-0.039
0.4942,0.0442,0.015,64500,0.45,0.026
0.50899,0.04399,0.03,64800,0.465,0.016
0.51025,0.04525,0.025,65100,0.465,-0.036
0.49821,0.04321,0.015,65400,0.455,0.005
0.49957,0.04457,0.005,65700,0.455,0.007
0.49958,0.04458,0.02,66000,0.455,0.024
0.48968,0.04468,0.025,66300,0.445,0.03
0.46921,0.04421,0.03,66600,0.425,0.033
0.47893,0.04393,0.025,66900,0.435,-0.031
0.50155,0.04155,0.02,67200,0.46,-0.014
0.4821,0.0421,0.015,67500,0.44,0.045
0.493,0.043,0.005,67800,0.45,-0.037
0.47393,0.04393,0.01,68100,0.43,-0.0
0.45831,0.04331,0.02,68400,0.415,0.039
0.4993,0.0443,0.03,68700,0.455,-0.03
0.49746,0.04246,0.02,69000,0.455,-0.003
0.47779,0.04279,0.03,69300,0.435,-0.018
0.4725,0.0425,0.025,69600,0.43,-0.003
0.47703,0.04203,0.015,69900,0.435,-0.037
0.49804,0.04304,0.025,70200,0.455,0.013
0.47716,0.04216,0.01,70500,0.435,-0.016
0.47119,0.04119,0.03,70800,0.43,-0.018
0.50651,0.04151,0.025,71100,0.465,-0.029
0.50107,0.04107,0.025,71400,0.46,-0.003
0.45561,0.04061,0.01,71700,0.415,-0.025
0.46235,0.04235,0.015,72000,0.42,-0.007
