avg_diff,avg_score,avg_winning,loss_train,step_idx,avg_score_no
0.045,0.54894,0.505,-0.002,54300,0.04394
0.045,0.56407,0.52,-0.023,54600,0.04407
0.035,0.53874,0.495,-0.006,54900,0.04374
0.035,0.54965,0.505,-0.01,55200,0.04465
0.03,0.54239,0.5,0.013,55500,0.04239
0.025,0.51426,0.47,-0.044,55800,0.04426
0.02,0.51377,0.47,-0.054,56100,0.04377
0.045,0.54898,0.505,-0.006,56400,0.04398
0.03,0.54287,0.5,0.002,56700,0.04287
0.02,0.57419,0.53,-0.05,57000,0.04419
0.01,0.54869,0.505,-0.012,57300,0.04369
0.01,0.52834,0.485,0.031,57600,0.04334
0.035,0.54867,0.505,0.023,57900,0.04367
0.025,0.52823,0.485,0.017,58200,0.04323
0.01,0.52829,0.485,-0.009,58500,0.04329
0.02,0.51884,0.475,-0.034,58800,0.04384
0.025,0.5293,0.485,0.019,59100,0.0443
0.02,0.53953,0.495,0.018,59400,0.04453
0.02,0.55556,0.51,-0.006,59700,0.04556
0.03,0.52405,0.48,-0.025,60000,0.04405
0.025,0.52409,0.48,-0.005,60300,0.04409
0.03,0.51383,0.47,-0.035,60600,0.04383
0.045,0.50856,0.465,-0.001,60900,0.04356
0.045,0.51947,0.475,0.012,61200,0.04447
0.04,0.51202,0.47,-0.008,61500,0.04202
0.05,0.50288,0.46,0.001,61800,0.04288
0.03,0.51309,0.47,-0.028,62100,0.04309
0.04,0.48684,0.445,-0.011,62400,0.04184
0.035,0.48662,0.445,0.013,62700,0.04162
0.035,0.53338,0.49,-0.006,63000,0.04338
0.02,0.49793,0.455,-0.014,63300,0.04293
0.035,0.52376,0.48,0.005,63600,0.04376
0.025,0.504,0.46,0.019,63900,0.044
0.02,0.51704,0.475,0.019,64200,0.04204
0.035,0.51244,0.47,-0.045,64500,0.04244
0.025,0.51773,0.475,0.026,64800,0.04273
0.035,0.5017,0.46,0.005,65100,0.0417
0.015,0.49091,0.45,-0.001,65400,0.04091
0.01,0.50063,0.46,-0.008,65700,0.04063
0.04,0.47833,0.44,-0.031,66000,0.03833
0.025,0.50448,0.465,-0.018,66300,0.03948
0.02,0.49197,0.45,0.045,66600,0.04197
0.03,0.50132,0.46,-0.026,66900,0.04132
0.03,0.50697,0.465,-0.021,67200,0.04197
0.015,0.50178,0.46,0.022,67500,0.04178
0.02,0.49632,0.455,-0.02,67800,0.04132
0.01,0.48577,0.445,-0.018,68100,0.04077
0.005,0.48611,0.445,-0.035,68400,0.04111
0.01,0.51234,0.47,-0.029,68700,0.04234
0.025,0.47748,0.435,0.037,69000,0.04248
0.03,0.5173,0.475,-0.006,69300,0.0423
0.045,0.51368,0.47,0.002,69600,0.04368
0.015,0.5217,0.48,0.013,69900,0.0417
0.035,0.45607,0.415,-0.026,70200,0.04107
0.03,0.52706,0.485,-0.033,70500,0.04206
0.01,0.52356,0.48,0.013,70800,0.04356
0.01,0.51767,0.475,0.046,71100,0.04267
0.02,0.52738,0.485,0.006,71400,0.04238
0.02,0.54271,0.5,-0.007,71700,0.04271
0.04,0.5169,0.475,0.032,72000,0.0419
0.02,0.53281,0.49,-0.006,72300,0.04281
0.04,0.51623,0.475,0.013,72600,0.04123
0.015,0.53251,0.49,0.031,72900,0.04251
0.02,0.54232,0.5,-0.033,73200,0.04232
0.005,0.51116,0.47,-0.023,73500,0.04116
0.01,0.52718,0.485,-0.003,73800,0.04218
0.03,0.49135,0.45,-0.028,74100,0.04135
0.005,0.50153,0.46,-0.016,74400,0.04153
0.01,0.50661,0.465,0.013,74700,0.04161
0.01,0.53905,0.495,-0.009,75000,0.04405
0.015,0.53285,0.49,0.029,75300,0.04285
0.0,0.53838,0.495,0.019,75600,0.04338
0.01,0.52386,0.48,0.018,75900,0.04386
0.0,0.5426,0.5,0.0,76200,0.0426
0.01,0.55293,0.51,0.036,76500,0.04293
-0.01,0.54848,0.505,-0.023,76800,0.04348
0.01,0.53258,0.49,-0.011,77100,0.04258
0.005,0.5077,0.465,-0.017,77400,0.0427
0.03,0.53441,0.49,0.014,77700,0.04441
0.025,0.53937,0.495,0.028,78000,0.04437
0.01,0.55029,0.505,-0.016,78300,0.04529
0.025,0.54067,0.495,-0.021,78600,0.04567
0.035,0.51904,0.475,-0.017,78900,0.04404
0.035,0.5198,0.475,0.0,79200,0.0448
0.02,0.5394,0.495,0.014,79500,0.0444
0.015,0.50691,0.465,-0.016,79800,0.04191
0.005,0.52343,0.48,0.007,80100,0.04343
0.005,0.52238,0.48,0.005,80400,0.04238
0.005,0.52234,0.48,-0.065,80700,0.04234
0.005,0.51388,0.47,-0.007,81000,0.04388
0.01,0.54387,0.5,0.021,81300,0.04387
0.015,0.53437,0.49,0.0,81600,0.04437
0.01,0.55428,0.51,-0.021,81900,0.04428
0.015,0.50704,0.465,0.006,82200,0.04204
-0.005,0.53929,0.495,-0.053,82500,0.04429
0.015,0.5434,0.5,0.003,82800,0.0434
0.01,0.55328,0.51,-0.026,83100,0.04328
0.005,0.56845,0.525,-0.002,83400,0.04345
0.005,0.55333,0.51,-0.019,83700,0.04333
0.03,0.55345,0.51,0.004,84000,0.04345
0.02,0.57877,0.535,-0.032,84300,0.04377
0.02,0.56836,0.525,-0.014,84600,0.04336
0.015,0.55364,0.51,-0.011,84900,0.04364
