step_idx,avg_winning,avg_score,loss_train,avg_diff
71000,0.455,0.49818,0.024,0.02
72000,0.448,0.49068,0.02,0.03
73000,0.451,0.49402,0.013,0.025
74000,0.442,0.48542,0.005,0.012
75000,0.453,0.49735,0.013,0.02
76000,0.457,0.50132,0.013,0.018
77000,0.447,0.49092,0.016,0.03
78000,0.468,0.51193,0.015,0.022
79000,0.402,0.44476,0.022,0.017
80000,0.435,0.47875,0.016,0.021
81000,0.43,0.47412,0.02,0.023
82000,0.441,0.48417,0.022,0.024
83000,0.417,0.4597,0.011,0.022
84000,0.454,0.49702,0.007,0.015
85000,0.433,0.47673,0.023,0.025
86000,0.419,0.46311,0.017,0.027
87000,0.427,0.47102,0.025,0.024
88000,0.431,0.47523,0.018,0.013
89000,0.409,0.45193,0.025,0.03
90000,0.428,0.47195,0.017,0.016
91000,0.409,0.45232,0.02,0.025
92000,0.413,0.45652,0.015,0.019
93000,0.459,0.49866,0.012,0.027
94000,0.446,0.48968,0.019,0.029
95000,0.445,0.48092,0.016,0.024
96000,0.445,0.47949,0.018,0.028
97000,0.432,0.47593,0.025,0.021
98000,0.431,0.47452,0.023,0.033
99000,0.415,0.45926,0.019,0.029
100000,0.418,0.46242,0.018,0.017
101000,0.42,0.46225,0.009,0.024
102000,0.419,0.46219,0.028,0.029
103000,0.446,0.4895,0.01,0.038
104000,0.419,0.46212,0.024,0.016
105000,0.41,0.4519,0.019,0.023
106000,0.41,0.45351,0.029,0.024
107000,0.433,0.47674,0.032,0.028
108000,0.39,0.43338,0.029,0.02
109000,0.396,0.43938,0.016,0.026
110000,0.408,0.45208,0.024,0.034
111000,0.419,0.46268,0.019,0.019
112000,0.425,0.46915,0.021,0.031
113000,0.408,0.45277,0.02,0.034
114000,0.405,0.45002,0.024,0.032
115000,0.4,0.44481,0.021,0.026
116000,0.428,0.47253,0.013,0.027
117000,0.4,0.44421,0.015,0.023
118000,0.38,0.42345,0.025,0.024
119000,0.415,0.45995,0.016,0.035
120000,0.425,0.4668,0.022,0.027
121000,0.405,0.44761,0.032,0.024
122000,0.42,0.46264,0.019,0.03
123000,0.418,0.46077,0.027,0.024
124000,0.431,0.47183,0.015,0.021
125000,0.387,0.43031,0.021,0.032
126000,0.409,0.45108,0.021,0.025
127000,0.401,0.44453,0.026,0.03
128000,0.411,0.4527,0.024,0.025
129000,0.395,0.43898,0.014,0.02
130000,0.402,0.44577,0.018,0.016
131000,0.425,0.46717,0.023,0.024
132000,0.388,0.43194,0.022,0.026
133000,0.421,0.4648,0.019,0.027
134000,0.414,0.45739,0.02,0.029
135000,0.399,0.44316,0.027,0.022
136000,0.422,0.4656,0.024,0.022
137000,0.418,0.46231,0.026,0.016
138000,0.399,0.4428,0.021,0.015
139000,0.411,0.45455,0.017,0.018
140000,0.42,0.46343,0.035,0.029
141000,0.448,0.49294,0.02,0.017
142000,0.424,0.46845,0.028,0.022
143000,0.436,0.48034,0.013,0.024
144000,0.409,0.45201,0.019,0.018
145000,0.435,0.47793,0.026,0.021
146000,0.438,0.47988,0.018,0.025
147000,0.446,0.48872,0.02,0.023
148000,0.407,0.45143,0.031,0.024
149000,0.39,0.4336,0.018,0.024
150000,0.431,0.4735,0.01,0.02
151000,0.394,0.43843,0.015,0.018
152000,0.427,0.46924,0.019,0.031
153000,0.425,0.46578,0.02,0.022
154000,0.417,0.46192,0.02,0.021
155000,0.432,0.47465,0.027,0.021
156000,0.398,0.44208,0.018,0.01
157000,0.449,0.48232,0.02,0.019
158000,0.42,0.46127,0.03,0.021
159000,0.418,0.46119,0.03,0.025
160000,0.394,0.43681,0.022,0.025
161000,0.435,0.47765,0.021,0.023
162000,0.409,0.45215,0.021,0.018
163000,0.422,0.46427,0.017,0.027
164000,0.397,0.43867,0.024,0.029
165000,0.419,0.45996,0.018,0.017
166000,0.413,0.45461,0.021,0.03
167000,0.41,0.45334,0.019,0.017
168000,0.455,0.48776,0.006,0.018
169000,0.438,0.47512,0.012,0.013
170000,0.437,0.47758,0.024,0.03
171000,0.438,0.47704,0.013,0.028
172000,0.443,0.48436,0.023,0.022
173000,0.416,0.4599,0.013,0.028
174000,0.419,0.46299,0.028,0.021
175000,0.41,0.45464,0.019,0.015
176000,0.431,0.47182,0.023,0.021
177000,0.432,0.47682,0.008,0.024
178000,0.436,0.47993,0.02,0.023
179000,0.407,0.45152,0.018,0.033
180000,0.395,0.43988,0.019,0.02
181000,0.415,0.45924,0.006,0.022
182000,0.428,0.47034,0.02,0.019
183000,0.426,0.4587,0.014,0.019
184000,0.416,0.4597,0.027,0.023
185000,0.375,0.41722,0.019,0.017
186000,0.392,0.43542,0.02,0.039
187000,0.427,0.47013,0.018,0.019
188000,0.438,0.48084,0.012,0.027
189000,0.405,0.44765,0.008,0.02
190000,0.405,0.44826,0.025,0.029
191000,0.43,0.47326,0.025,0.012
192000,0.388,0.43023,0.021,0.037
193000,0.405,0.44816,0.014,0.027
194000,0.394,0.43846,0.024,0.019
195000,0.426,0.46917,0.02,0.016
196000,0.437,0.47511,0.02,0.022
197000,0.412,0.45478,0.027,0.024
198000,0.421,0.46458,0.011,0.02
199000,0.421,0.46404,0.01,0.031
200000,0.432,0.47491,0.017,0.015
201000,0.445,0.48631,0.015,0.02
202000,0.389,0.43145,0.029,0.027
203000,0.433,0.47299,0.02,0.029
204000,0.419,0.46149,0.026,0.035
205000,0.411,0.45433,0.021,0.022
206000,0.405,0.44783,0.012,0.017
207000,0.428,0.46789,0.002,0.021
208000,0.413,0.45716,0.022,0.025
209000,0.422,0.46408,0.011,0.034
210000,0.418,0.46087,0.016,0.029
211000,0.422,0.46367,0.014,0.033
212000,0.389,0.43021,0.02,0.023
213000,0.404,0.44526,0.021,0.026
214000,0.432,0.47063,0.011,0.015
215000,0.41,0.45156,0.032,0.031
216000,0.406,0.44798,0.024,0.032
217000,0.41,0.45246,0.025,0.024
218000,0.407,0.44717,0.016,0.028
219000,0.416,0.4581,0.015,0.023
220000,0.419,0.46116,0.028,0.023
221000,0.426,0.46455,0.019,0.027
222000,0.404,0.44694,0.025,0.025
223000,0.414,0.45656,0.012,0.022
224000,0.432,0.47327,0.024,0.023
225000,0.452,0.49467,0.002,0.019
226000,0.416,0.45654,0.029,0.016
227000,0.446,0.49006,0.019,0.025
228000,0.429,0.47204,0.026,0.03
229000,0.437,0.48059,0.021,0.023
230000,0.415,0.45767,0.019,0.021
231000,0.444,0.48839,0.022,0.019
232000,0.421,0.4654,0.018,0.019
233000,0.443,0.48755,0.027,0.026
234000,0.428,0.47209,0.011,0.011
235000,0.446,0.49007,0.019,0.014
236000,0.432,0.47619,0.028,0.023
237000,0.45,0.49236,0.008,0.026
238000,0.437,0.48159,0.013,0.016
239000,0.44,0.484,0.028,0.012
240000,0.463,0.50547,0.003,0.019
241000,0.436,0.47969,0.021,0.018
242000,0.424,0.46863,0.028,0.019
243000,0.416,0.45985,0.013,0.021
244000,0.422,0.4655,0.014,0.016
245000,0.43,0.4736,0.01,0.028
246000,0.451,0.49538,0.018,0.023
247000,0.423,0.46598,0.021,0.021
248000,0.414,0.45809,0.023,0.02
249000,0.414,0.45462,0.018,0.025
250000,0.414,0.45661,0.023,0.027
251000,0.418,0.46043,0.005,0.023
252000,0.419,0.46279,0.019,0.021
253000,0.414,0.45736,0.015,0.013
254000,0.415,0.45789,0.017,0.027
255000,0.417,0.46019,0.014,0.02
256000,0.435,0.47794,0.024,0.021
