avg_diff,avg_winning,loss_train,step_idx,avg_score
0.006,0.604,-0.013,252000,0.63921
0.004,0.591,-0.012,253000,0.62669
0.008,0.601,-0.003,254000,0.63636
0.004,0.618,-0.012,255000,0.65419
0.006,0.619,-0.014,256000,0.65547
-0.003,0.601,-0.009,257000,0.63663
0.0,0.598,-0.009,258000,0.63378
0.026,0.544,-0.011,259000,0.57853
0.005,0.561,-0.006,260000,0.5962
0.006,0.59,-0.012,261000,0.62518
0.006,0.598,-0.004,262000,0.63411
0.008,0.556,-0.014,263000,0.58971
0.006,0.588,-0.018,264000,0.62292
0.0,0.611,-0.004,265000,0.64709
0.005,0.602,-0.018,266000,0.6375
0.008,0.606,-0.014,267000,0.64186
-0.004,0.605,-0.008,268000,0.64057
0.014,0.53,-0.018,269000,0.56286
-0.003,0.598,-0.008,270000,0.63299
-0.001,0.613,-0.021,271000,0.64846
0.023,0.563,-0.007,272000,0.59578
0.001,0.61,-0.01,273000,0.64558
0.021,0.575,-0.01,274000,0.60819
0.001,0.618,-0.005,275000,0.65341
0.004,0.617,-0.007,276000,0.65252
0.001,0.612,-0.009,277000,0.64756
0.008,0.596,-0.01,278000,0.63047
-0.001,0.617,-0.006,279000,0.65272
0.002,0.611,-0.014,280000,0.64607
-0.001,0.604,-0.011,281000,0.63947
0.0,0.614,-0.009,282000,0.64926
0.013,0.583,-0.014,283000,0.61671
0.007,0.605,-0.005,284000,0.64079
-0.004,0.604,-0.011,285000,0.6391
0.001,0.568,-0.012,286000,0.60234
-0.002,0.59,-0.003,287000,0.62472
0.007,0.541,-0.009,288000,0.57462
-0.005,0.543,-0.008,289000,0.57698
-0.002,0.571,-0.003,290000,0.60673
0.007,0.528,-0.01,291000,0.56272
0.004,0.555,-0.003,292000,0.58878
0.005,0.613,-0.006,293000,0.64853
0.001,0.582,-0.017,294000,0.61714
-0.003,0.603,-0.007,295000,0.63856
0.014,0.58,-0.011,296000,0.61483
0.001,0.585,-0.016,297000,0.61964
0.004,0.579,-0.013,298000,0.61419
0.005,0.548,-0.006,299000,0.58113
0.009,0.553,-0.014,300000,0.58581
0.007,0.57,-0.004,301000,0.60447
0.018,0.572,-0.008,302000,0.60647
0.009,0.567,-0.007,303000,0.60198
0.012,0.571,-0.019,304000,0.60463
-0.001,0.587,-0.011,305000,0.62145
-0.003,0.594,-0.007,306000,0.62911
-0.004,0.591,-0.002,307000,0.62559
0.001,0.596,0.006,308000,0.63137
-0.002,0.588,-0.01,309000,0.62149
-0.001,0.598,-0.006,310000,0.63216
0.012,0.59,-0.008,311000,0.62194
-0.001,0.597,0.001,312000,0.63002
0.002,0.587,-0.01,313000,0.61954
-0.002,0.606,-0.017,314000,0.64047
-0.002,0.6,-0.013,315000,0.63367
0.0,0.616,-0.003,316000,0.65064
-0.004,0.61,-0.013,317000,0.6445
-0.008,0.614,-0.007,318000,0.64795
-0.007,0.588,-0.006,319000,0.62187
0.003,0.612,-0.009,320000,0.64689
0.004,0.593,-0.012,321000,0.62755
0.009,0.573,-0.015,322000,0.60631
-0.006,0.603,-0.017,323000,0.63802
0.006,0.587,-0.016,324000,0.62036
0.023,0.551,-0.007,325000,0.58376
0.003,0.596,-0.005,326000,0.63149
-0.003,0.598,-0.007,327000,0.63361
0.002,0.592,-0.018,328000,0.62736
0.016,0.571,-0.006,329000,0.60558
0.006,0.569,-0.007,330000,0.6033
0.016,0.57,-0.006,331000,0.60363
0.001,0.547,-0.01,332000,0.57805
-0.004,0.561,-0.021,333000,0.5939
0.004,0.553,-0.018,334000,0.58326
0.012,0.581,-0.002,335000,0.6126
0.013,0.564,-0.012,336000,0.59573
0.013,0.551,-0.006,337000,0.58193
0.014,0.546,-0.01,338000,0.57577
-0.003,0.548,-0.012,339000,0.57787
0.01,0.56,-0.012,340000,0.59219
0.011,0.538,-0.012,341000,0.5687
0.005,0.563,-0.002,342000,0.59544
0.017,0.534,-0.011,343000,0.56604
0.007,0.565,-0.002,344000,0.59862
0.009,0.572,-0.013,345000,0.60666
0.005,0.564,-0.015,346000,0.59829
0.014,0.563,-0.013,347000,0.59629
0.015,0.563,-0.019,348000,0.59672
0.008,0.536,-0.014,349000,0.56894
0.029,0.53,-0.011,350000,0.56112
