avg_score,avg_winning,step_idx,avg_diff,loss_train
0.46137,0.42,284000,0.024,0.024
0.4983,0.457,285000,0.018,0.013
0.48119,0.439,286000,0.021,0.014
0.51414,0.471,287000,0.01,-0.001
0.49868,0.456,288000,0.019,0.034
0.49985,0.457,289000,0.011,0.007
0.48017,0.437,290000,0.016,0.029
0.459,0.416,291000,0.016,0.028
0.51435,0.472,292000,0.01,-0.001
0.50627,0.461,293000,0.013,0.026
0.50276,0.459,294000,0.01,0.003
0.50069,0.456,295000,0.016,0.026
0.48112,0.438,296000,0.015,0.026
0.50154,0.458,297000,0.013,0.002
0.50896,0.465,298000,0.011,0.01
0.50784,0.464,299000,0.009,0.01
0.50733,0.464,300000,0.02,0.008
0.49396,0.451,301000,0.014,0.02
0.50048,0.457,302000,0.01,0.014
0.48198,0.438,303000,0.025,0.009
0.49033,0.446,304000,0.023,0.013
0.48261,0.44,305000,0.015,0.019
0.47704,0.444,306000,0.024,0.015
0.4901,0.451,307000,0.018,0.016
0.48353,0.442,308000,0.012,0.024
0.4965,0.452,309000,0.016,0.031
0.48004,0.441,310000,0.016,0.02
0.49458,0.456,311000,0.015,0.016
0.49767,0.454,312000,0.006,0.007
0.49258,0.45,313000,0.013,0.015
0.49304,0.449,314000,0.013,0.011
0.47996,0.439,315000,0.006,0.012
0.51173,0.468,316000,0.006,0.027
0.46004,0.416,317000,0.021,0.024
0.49744,0.454,318000,0.017,-0.0
0.49669,0.455,319000,0.018,0.016
0.47476,0.434,320000,0.011,0.03
0.4769,0.438,321000,0.016,0.022
0.49517,0.457,322000,0.012,0.006
0.47231,0.43,323000,0.017,0.014
0.51308,0.473,324000,0.015,0.023
0.5084,0.469,325000,0.017,0.021
0.48146,0.44,326000,0.01,0.023
0.48344,0.441,327000,0.013,0.027
0.47455,0.432,328000,0.009,0.02
0.48033,0.438,329000,0.025,0.004
0.46898,0.426,330000,0.014,0.01
0.47994,0.437,331000,0.024,0.022
0.50364,0.461,332000,0.019,0.012
0.50443,0.461,333000,0.01,0.027
0.46738,0.425,334000,0.022,0.024
0.47508,0.432,335000,0.023,0.012
0.49366,0.45,336000,0.01,0.004
0.49035,0.447,337000,0.025,0.024
0.47666,0.435,338000,0.016,0.029
0.48258,0.445,339000,0.011,0.009
0.48179,0.441,340000,0.004,0.02
0.48675,0.444,341000,0.02,0.024
0.48354,0.44,342000,0.018,0.023
0.4781,0.434,343000,0.015,0.01
0.50343,0.46,344000,0.014,0.016
0.49198,0.448,345000,0.016,0.021
0.49041,0.446,346000,0.014,0.02
0.47233,0.43,347000,0.029,0.013
0.47722,0.437,348000,0.018,0.018
0.46938,0.43,349000,0.014,0.02
0.49227,0.45,350000,0.009,0.021
0.47228,0.43,351000,0.01,0.016
0.47401,0.432,352000,0.011,0.003
0.4615,0.419,353000,0.032,0.011
0.48619,0.444,354000,0.006,-0.001
0.48165,0.44,355000,0.014,0.013
0.50615,0.467,356000,0.019,0.008
0.49455,0.452,357000,0.02,0.011
0.50041,0.459,358000,0.015,0.008
0.48984,0.447,359000,0.014,0.024
0.51335,0.473,360000,0.006,0.013
0.496,0.455,361000,0.017,0.038
0.48726,0.445,362000,0.024,0.021
0.46907,0.427,363000,0.013,0.027
0.48212,0.44,364000,0.013,0.008
0.48598,0.444,365000,0.009,0.019
0.48891,0.447,366000,0.006,0.021
0.48797,0.446,367000,0.021,0.028
0.48289,0.441,368000,0.023,0.02
0.50424,0.462,369000,0.024,0.018
0.50359,0.46,370000,0.011,0.028
0.49532,0.452,371000,0.014,0.022
0.50576,0.463,372000,0.008,0.023
0.45176,0.41,373000,0.016,0.023
0.49608,0.454,374000,0.025,0.015
0.50919,0.468,375000,0.017,0.01
0.48542,0.443,376000,0.019,0.034
0.47171,0.43,377000,0.018,0.017
0.47865,0.436,378000,0.016,0.022
0.5014,0.461,379000,0.019,0.023
0.48517,0.444,380000,0.022,0.018
0.49973,0.46,381000,0.014,0.018
0.51035,0.473,382000,0.029,0.021
0.48478,0.458,383000,0.017,0.021
0.49669,0.463,384000,0.01,0.022
0.50167,0.466,385000,0.006,0.033
0.48138,0.442,386000,0.021,0.024
0.48673,0.445,387000,0.025,0.027
0.47939,0.438,388000,0.017,0.023
0.47962,0.438,389000,0.015,0.018
0.47105,0.43,390000,0.01,0.01
0.49975,0.457,391000,0.016,0.015
0.4918,0.449,392000,0.014,0.017
0.48104,0.439,393000,0.016,0.01
0.50297,0.463,394000,0.015,0.004
0.50674,0.467,395000,0.015,0.018
0.48917,0.447,396000,0.016,0.014
0.4792,0.439,397000,0.015,0.012
0.50236,0.462,398000,0.008,0.021
0.50391,0.465,399000,0.01,0.011
0.50883,0.467,400000,0.006,0.014
0.48989,0.448,401000,0.027,0.016
0.50934,0.47,402000,0.024,0.018
0.47561,0.434,403000,0.016,0.024
0.51316,0.48,404000,0.011,0.02
0.51442,0.479,405000,0.016,0.024
0.51578,0.475,406000,0.016,0.019
0.49852,0.46,407000,0.006,0.015
0.49547,0.455,408000,0.013,0.022
0.48605,0.445,409000,0.015,0.003
0.49179,0.451,410000,0.008,0.01
0.49897,0.46,411000,0.019,0.017
0.50686,0.465,412000,0.022,0.01
0.50478,0.464,413000,0.017,0.021
0.48884,0.447,414000,0.023,0.007
0.48548,0.445,415000,0.029,0.019
0.52082,0.481,416000,0.011,0.011
0.50828,0.468,417000,0.016,0.034
0.47342,0.433,418000,0.02,0.029
0.48539,0.445,419000,0.016,0.025
0.49916,0.461,420000,0.014,0.012
0.50987,0.469,421000,0.015,0.02
0.4809,0.441,422000,0.021,0.016
0.48077,0.442,423000,0.01,0.024
0.50329,0.468,424000,0.007,0.017
0.51026,0.469,425000,0.016,0.029
0.49485,0.456,426000,0.014,0.005
0.47646,0.437,427000,0.023,0.025
0.48659,0.446,428000,0.011,0.029
0.47201,0.432,429000,0.017,0.015
0.49944,0.463,430000,0.016,0.025
0.4862,0.457,431000,0.015,0.021
0.51654,0.478,432000,0.021,0.014
0.50787,0.468,433000,0.011,0.018
0.49585,0.454,434000,0.012,0.018
0.50701,0.467,435000,0.022,0.021
0.50409,0.464,436000,0.011,0.02
0.48442,0.443,437000,0.018,0.014
0.49154,0.453,438000,0.016,0.021
0.48433,0.445,439000,0.022,0.034
0.49902,0.463,440000,0.014,0.034
0.47176,0.431,441000,0.017,0.029
0.48457,0.445,442000,0.025,0.015
0.47294,0.432,443000,0.011,0.016
0.49219,0.452,444000,0.016,0.011
0.49035,0.461,445000,0.011,0.022
0.4977,0.456,446000,0.02,0.025
0.489,0.448,447000,0.022,0.028
0.4814,0.44,448000,0.021,0.021
0.49839,0.458,449000,0.029,0.025
0.48744,0.449,450000,0.01,0.021
0.4727,0.44,451000,0.015,0.011
0.50538,0.466,452000,0.011,0.019
0.51265,0.474,453000,0.001,0.019
0.51415,0.477,454000,0.019,0.004
0.51777,0.48,455000,0.024,0.015
0.52179,0.487,456000,0.012,0.009
0.5134,0.473,457000,0.017,0.024
0.49416,0.455,458000,0.014,0.013
0.48994,0.454,459000,0.019,0.014
0.50091,0.461,460000,0.019,0.03
0.5086,0.469,461000,0.013,0.024
0.49363,0.46,462000,0.019,0.011
0.49427,0.455,463000,0.018,0.016
0.51226,0.477,464000,0.019,0.023
0.5056,0.469,465000,0.021,0.021
0.52886,0.49,466000,0.021,0.008
0.51274,0.479,467000,0.028,0.008
0.4842,0.454,468000,0.014,0.012
0.48534,0.446,469000,0.018,0.019
0.49632,0.46,470000,0.019,0.007
0.49084,0.452,471000,0.029,0.028
0.50933,0.474,472000,0.008,0.014
0.50076,0.461,473000,0.016,0.021
0.50131,0.462,474000,0.019,0.02
0.50455,0.465,475000,0.01,-0.002
0.50493,0.467,476000,0.012,0.019
0.49187,0.457,477000,0.019,0.02
0.50429,0.479,478000,0.01,0.023
0.51349,0.486,479000,0.026,0.022
0.5112,0.474,480000,0.019,0.028
0.50943,0.48,481000,0.011,0.013
0.51607,0.478,482000,0.016,0.019
0.54234,0.505,483000,0.011,0.01
0.50408,0.467,484000,0.02,0.016
0.50377,0.466,485000,0.02,0.019
0.49711,0.46,486000,0.019,0.013
0.49138,0.451,487000,0.015,0.026
0.50995,0.476,488000,0.02,0.007
0.5268,0.495,489000,0.01,0.01
0.54149,0.503,490000,0.019,0.006
0.51324,0.482,491000,0.006,0.019
0.53823,0.494,492000,0.019,0.016
0.55791,0.517,493000,0.007,0.015
0.54168,0.504,494000,0.016,0.011
0.52537,0.487,495000,0.013,0.017
0.54271,0.508,496000,0.024,0.037
0.51928,0.485,497000,0.022,0.01
0.51605,0.486,498000,0.012,0.004
0.5245,0.486,499000,0.012,0.017
