avg_winning,step_idx,avg_diff,avg_score,loss_train
0.592,225000,0.022,0.62799,-0.01
0.583,226000,0.011,0.61977,-0.002
0.52,227000,0.028,0.55148,-0.01
0.546,228000,0.02,0.5785,0.002
0.58,229000,0.022,0.61373,-0.018
0.569,230000,0.012,0.60339,0.008
0.595,231000,0.015,0.6306,-0.014
0.593,232000,0.022,0.62858,-0.004
0.608,233000,0.024,0.64435,-0.005
0.566,234000,0.032,0.59968,-0.016
0.595,235000,0.016,0.63168,-0.002
0.563,236000,0.035,0.59771,-0.014
0.56,237000,0.029,0.59339,-0.015
0.561,238000,0.023,0.59552,-0.005
0.589,239000,0.017,0.6246,-0.008
0.597,240000,0.024,0.63348,-0.012
0.577,241000,0.025,0.61263,-0.014
0.577,242000,0.019,0.61277,-0.01
0.597,243000,0.012,0.63333,-0.003
0.596,244000,0.022,0.63248,-0.01
0.568,245000,0.027,0.60073,-0.006
0.603,246000,0.013,0.6401,0.008
0.596,247000,0.017,0.63112,-0.014
0.597,248000,0.011,0.63336,0.004
0.546,249000,0.033,0.57648,-0.01
0.558,250000,0.023,0.59008,-0.005
0.543,251000,0.027,0.57665,-0.002
0.536,252000,0.021,0.57015,0.002
0.571,253000,0.018,0.60522,-0.006
0.534,254000,0.016,0.56639,0.001
0.548,255000,0.023,0.57936,-0.007
0.527,256000,0.024,0.55854,-0.003
0.538,257000,0.026,0.56965,-0.006
0.531,258000,0.027,0.56197,-0.015
0.551,259000,0.024,0.58504,0.01
0.498,260000,0.034,0.5239,-0.001
0.519,261000,0.039,0.55087,-0.002
0.536,262000,0.028,0.56942,-0.012
0.492,263000,0.036,0.51463,-0.004
0.517,264000,0.018,0.54905,-0.004
0.525,265000,0.019,0.55804,-0.014
0.518,266000,0.027,0.5501,0.002
0.523,267000,0.028,0.5556,-0.015
0.535,268000,0.022,0.56747,0.002
0.527,269000,0.021,0.55876,-0.005
0.52,270000,0.024,0.54905,-0.013
0.513,271000,0.03,0.54306,-0.007
0.532,272000,0.034,0.56167,-0.011
0.53,273000,0.035,0.56117,0.001
0.527,274000,0.027,0.55826,0.005
0.537,275000,0.03,0.56933,-0.003
0.557,276000,0.032,0.59199,-0.009
0.561,277000,0.017,0.59436,-0.008
0.546,278000,0.019,0.58015,0.001
0.535,279000,0.011,0.56915,-0.006
0.511,280000,0.026,0.54221,-0.008
0.548,281000,0.027,0.58213,-0.002
0.509,282000,0.032,0.54053,-0.004
0.545,283000,0.023,0.58034,-0.0
0.529,284000,0.029,0.56404,-0.008
0.522,285000,0.025,0.55668,-0.007
0.529,286000,0.026,0.56301,0.003
0.517,287000,0.024,0.54762,-0.001
0.524,288000,0.03,0.55202,0.007
0.515,289000,0.027,0.54651,-0.01
