loss_train,avg_diff,step_idx,avg_score,avg_winning
0.028,0.043,358000,0.46001,0.415
0.019,0.031,359000,0.45409,0.409
0.022,0.032,360000,0.48393,0.438
0.025,0.027,361000,0.48962,0.444
0.013,0.029,362000,0.47856,0.433
0.004,0.024,363000,0.46461,0.419
0.016,0.04,364000,0.48256,0.436
0.013,0.027,365000,0.47913,0.435
0.014,0.03,366000,0.50511,0.459
0.011,0.03,367000,0.48636,0.442
0.017,0.036,368000,0.46279,0.417
0.015,0.028,369000,0.44281,0.399
0.015,0.027,370000,0.45675,0.412
0.014,0.023,371000,0.45109,0.406
0.011,0.023,372000,0.47172,0.426
0.003,0.026,373000,0.46757,0.421
0.012,0.024,374000,0.4788,0.433
0.018,0.029,375000,0.46397,0.419
0.024,0.021,376000,0.47966,0.433
0.011,0.023,377000,0.49919,0.454
0.022,0.036,378000,0.47338,0.428
0.019,0.022,379000,0.4864,0.44
0.017,0.025,380000,0.4814,0.436
0.038,0.028,381000,0.46386,0.418
0.021,0.035,382000,0.49189,0.448
0.024,0.024,383000,0.48481,0.438
0.009,0.03,384000,0.49064,0.444
0.025,0.027,385000,0.48162,0.437
0.023,0.027,386000,0.49998,0.456
0.038,0.03,387000,0.48369,0.437
0.017,0.022,388000,0.46506,0.419
0.025,0.029,389000,0.49162,0.445
0.028,0.025,390000,0.50396,0.461
0.026,0.027,391000,0.49595,0.453
0.028,0.024,392000,0.48121,0.438
0.022,0.03,393000,0.48147,0.439
0.019,0.029,394000,0.48066,0.437
0.009,0.03,395000,0.46684,0.423
0.014,0.033,396000,0.48038,0.438
0.018,0.021,397000,0.50264,0.463
0.036,0.028,398000,0.49323,0.455
0.013,0.027,399000,0.48239,0.44
0.024,0.03,400000,0.50342,0.461
0.016,0.031,401000,0.48203,0.439
0.017,0.032,402000,0.49331,0.45
0.02,0.024,403000,0.48637,0.443
0.016,0.029,404000,0.47932,0.434
0.02,0.025,405000,0.48075,0.439
0.024,0.028,406000,0.486,0.443
0.027,0.024,407000,0.49439,0.45
0.036,0.038,408000,0.49424,0.45
0.015,0.023,409000,0.48821,0.446
0.012,0.023,410000,0.46606,0.422
0.014,0.025,411000,0.49034,0.446
0.039,0.03,412000,0.49348,0.449
0.019,0.029,413000,0.49671,0.456
0.015,0.019,414000,0.47466,0.447
0.025,0.031,415000,0.49724,0.454
0.025,0.026,416000,0.49345,0.449
0.029,0.037,417000,0.51157,0.465
0.027,0.021,418000,0.48558,0.439
0.007,0.028,419000,0.47995,0.434
0.016,0.031,420000,0.48868,0.443
0.019,0.031,421000,0.49726,0.452
0.013,0.027,422000,0.47945,0.435
0.012,0.016,423000,0.48483,0.459
0.028,0.018,424000,0.49767,0.455
0.013,0.028,425000,0.49733,0.455
0.009,0.031,426000,0.48041,0.437
0.018,0.031,427000,0.47228,0.429
0.021,0.027,428000,0.49997,0.459
0.004,0.022,429000,0.49875,0.459
0.027,0.025,430000,0.49572,0.453
0.021,0.03,431000,0.48537,0.441
