avg_winning,avg_score,loss_train,step_idx,avg_diff
0.418,0.45896,0.016,336000,0.029
0.446,0.48528,0.014,337000,0.03
0.418,0.45865,0.017,338000,0.023
0.389,0.4294,0.02,339000,0.032
0.373,0.41215,0.013,340000,0.043
0.394,0.43488,0.009,341000,0.026
0.426,0.46744,0.014,342000,0.026
0.413,0.4538,0.017,343000,0.03
0.453,0.49231,0.011,344000,0.013
0.425,0.46629,0.014,345000,0.017
0.425,0.46459,-0.002,346000,0.016
0.446,0.48448,0.022,347000,0.02
0.463,0.50246,0.011,348000,0.019
0.438,0.47935,0.015,349000,0.023
0.427,0.46887,0.021,350000,0.019
0.441,0.4827,0.027,351000,0.011
0.451,0.49305,0.008,352000,0.024
0.441,0.48336,0.023,353000,0.022
0.452,0.48642,0.016,354000,0.021
0.448,0.4858,0.016,355000,0.015
0.452,0.49347,0.026,356000,0.02
0.457,0.49836,0.003,357000,0.014
0.474,0.51388,0.023,358000,0.012
0.464,0.50312,0.026,359000,0.021
0.427,0.46861,0.006,360000,0.024
0.436,0.47637,0.02,361000,0.024
0.414,0.45395,0.014,362000,0.019
0.42,0.45942,0.015,363000,0.023
0.431,0.46955,-0.003,364000,0.021
0.432,0.47177,0.019,365000,0.018
0.42,0.46019,0.023,366000,0.018
0.453,0.49186,0.007,367000,0.018
0.449,0.48693,0.005,368000,0.013
0.465,0.50477,0.026,369000,0.014
0.438,0.47918,0.021,370000,0.018
0.467,0.50879,0.013,371000,0.018
0.426,0.46641,0.026,372000,0.016
0.432,0.47276,0.011,373000,0.027
0.447,0.4887,0.008,374000,0.028
0.432,0.47342,0.019,375000,0.029
0.408,0.44801,0.025,376000,0.026
0.42,0.46029,0.018,377000,0.027
0.441,0.48159,0.002,378000,0.026
0.444,0.48496,-0.007,379000,0.023
0.44,0.4812,0.013,380000,0.027
0.443,0.48412,0.009,381000,0.027
0.42,0.46059,0.028,382000,0.029
0.433,0.47432,0.024,383000,0.022
0.453,0.49501,0.011,384000,0.013
0.456,0.49798,0.016,385000,0.014
0.421,0.46207,0.019,386000,0.027
0.448,0.49058,0.006,387000,0.021
0.46,0.50204,0.018,388000,0.023
0.432,0.47302,0.012,389000,0.026
0.437,0.47824,0.01,390000,0.019
0.428,0.46959,0.014,391000,0.029
0.431,0.47224,0.022,392000,0.033
0.42,0.46129,0.011,393000,0.028
0.419,0.46026,0.013,394000,0.027
0.426,0.46711,0.026,395000,0.022
0.438,0.4793,0.03,396000,0.023
0.44,0.48088,0.007,397000,0.032
0.441,0.48162,0.025,398000,0.024
0.454,0.49548,0.01,399000,0.026
0.426,0.46665,0.003,400000,0.024
0.455,0.49574,0.007,401000,0.025
0.456,0.49749,0.021,402000,0.024
0.413,0.45296,0.02,403000,0.029
0.453,0.49382,0.012,404000,0.028
0.414,0.45429,0.013,405000,0.025
0.399,0.43868,0.012,406000,0.032
0.4,0.44071,0.009,407000,0.034
0.453,0.49401,0.015,408000,0.024
0.461,0.50076,0.019,409000,0.021
0.468,0.50595,0.022,410000,0.02
0.452,0.49343,0.008,411000,0.02
0.433,0.47364,0.005,412000,0.026
0.436,0.47667,0.019,413000,0.02
0.415,0.4557,0.012,414000,0.02
0.437,0.47803,0.01,415000,0.019
0.422,0.46252,0.023,416000,0.019
