avg_score,step_idx,avg_winning,loss_train,avg_diff
0.51726,244000,0.475,0.032,0.012
0.52364,245000,0.483,0.025,0.018
0.515,246000,0.475,0.006,0.024
0.48315,247000,0.439,0.035,0.013
0.50467,248000,0.459,0.016,0.011
0.4889,249000,0.442,0.018,0.026
0.50346,250000,0.457,0.019,0.007
0.51818,251000,0.473,0.007,0.023
0.51196,252000,0.465,0.035,0.009
0.53099,253000,0.484,0.031,0.015
0.52279,254000,0.476,0.024,0.011
0.53429,255000,0.489,0.024,0.019
0.50495,256000,0.459,0.023,0.021
0.51933,257000,0.474,0.021,0.009
0.5074,258000,0.461,0.032,0.022
0.5047,259000,0.459,0.022,0.017
0.48498,260000,0.44,0.013,0.014
0.50976,261000,0.464,0.022,0.011
0.49506,262000,0.449,0.017,0.031
0.51211,263000,0.466,0.009,0.022
0.51296,264000,0.468,0.006,0.023
0.51718,265000,0.472,0.031,0.021
0.50349,266000,0.462,0.029,0.013
0.45182,267000,0.422,0.013,0.014
0.51551,268000,0.474,0.028,0.022
0.49535,269000,0.45,0.018,0.024
0.50341,270000,0.459,0.009,0.026
0.50216,271000,0.46,0.017,0.021
0.50069,272000,0.461,0.02,0.014
0.48323,273000,0.441,0.028,0.021
0.48429,274000,0.441,0.019,0.02
0.49824,275000,0.456,0.011,0.009
0.48334,276000,0.44,0.02,0.023
0.51405,277000,0.47,0.017,0.012
0.4847,278000,0.441,0.016,0.015
0.51877,279000,0.479,0.022,0.017
0.50988,280000,0.468,0.004,0.019
0.50594,281000,0.463,0.025,0.012
0.49271,282000,0.449,0.026,0.025
0.51974,283000,0.476,0.02,0.022
0.50339,284000,0.459,0.022,0.031
0.49767,285000,0.454,0.017,0.013
0.50283,286000,0.464,0.008,0.018
0.48757,287000,0.448,0.011,0.022
0.49248,288000,0.452,0.009,0.019
0.50664,289000,0.463,0.024,0.02
0.4865,290000,0.444,0.021,0.027
0.50779,291000,0.468,0.011,0.022
0.49897,292000,0.455,0.01,0.019
0.49612,293000,0.452,0.011,0.024
0.50096,294000,0.458,0.017,0.024
0.49031,295000,0.447,0.026,0.026
0.48015,296000,0.437,0.013,0.027
0.50061,297000,0.457,0.031,0.022
0.49942,298000,0.456,0.008,0.027
0.49717,299000,0.455,0.028,0.027
0.49405,300000,0.452,0.019,0.033
0.49214,301000,0.449,0.009,0.024
0.50965,302000,0.466,0.005,0.026
0.50252,303000,0.459,0.032,0.025
0.51273,304000,0.472,0.013,0.019
0.49428,305000,0.452,0.03,0.032
0.50486,306000,0.461,0.016,0.017
0.50647,307000,0.463,0.018,0.015
0.50478,308000,0.464,0.022,0.021
0.51203,309000,0.469,0.016,0.02
0.51106,310000,0.468,0.024,0.024
0.52396,311000,0.484,0.014,0.021
0.52634,312000,0.488,0.036,0.014
0.51572,313000,0.474,0.032,0.022
0.50714,314000,0.467,0.016,0.023
0.52802,315000,0.488,0.025,0.009
0.52179,316000,0.483,0.025,0.009
0.51172,317000,0.472,0.026,0.009
0.53972,318000,0.504,0.012,0.016
0.48713,319000,0.446,0.029,0.019
0.53261,320000,0.491,0.025,0.025
0.51342,321000,0.473,0.012,0.018
0.49259,322000,0.453,0.03,0.022
0.46939,323000,0.428,0.02,0.03
0.48088,324000,0.439,0.017,0.028
0.48487,325000,0.443,0.028,0.024
0.46772,326000,0.425,0.016,0.029
0.46992,327000,0.428,0.004,0.025
0.44734,328000,0.407,0.019,0.018
0.47857,329000,0.437,0.012,0.022
0.47791,330000,0.436,0.02,0.024
0.49041,331000,0.448,0.026,0.035
0.47834,332000,0.436,0.013,0.025
0.49521,333000,0.452,0.02,0.022
0.47606,334000,0.434,0.014,0.03
0.46296,335000,0.421,0.012,0.024
0.45253,336000,0.41,0.017,0.023
0.46164,337000,0.419,0.016,0.027
0.50619,338000,0.463,0.01,0.017
0.49485,339000,0.45,0.016,0.025
0.50098,340000,0.456,0.029,0.02
0.50175,341000,0.458,0.013,0.026
0.52234,342000,0.48,0.014,0.019
0.48,343000,0.451,0.027,0.006
0.53248,344000,0.494,0.033,0.015
0.51295,345000,0.468,0.016,0.013
0.50684,346000,0.464,0.028,0.018
0.53753,347000,0.495,0.016,0.026
0.49694,348000,0.454,0.014,0.024
0.49578,349000,0.453,0.013,0.019
0.46916,350000,0.427,0.014,0.037
0.47873,351000,0.436,0.016,0.019
0.48068,352000,0.437,0.002,0.029
0.48284,353000,0.44,0.02,0.018
0.47686,354000,0.435,0.008,0.024
0.51111,355000,0.47,0.021,0.018
0.50051,356000,0.459,0.014,0.02
0.50211,357000,0.46,0.022,0.025
0.47398,358000,0.432,0.016,0.029
0.50101,359000,0.458,0.017,0.029
0.48603,360000,0.443,0.022,0.022
0.45637,361000,0.414,0.026,0.022
0.48286,362000,0.439,0.006,0.024
0.49463,363000,0.451,0.012,0.021
0.50176,364000,0.458,0.02,0.021
0.49726,365000,0.454,0.028,0.022
0.49043,366000,0.448,0.025,0.025
0.46774,367000,0.426,0.027,0.027
