avg_diff,step_idx,avg_winning,loss_train,avg_score dropout=0.1
0.02,311000,0.45,0.021,0.49625
0.019,312000,0.462,0.003,0.50689
0.013,313000,0.451,0.025,0.49477
0.028,314000,0.466,0.016,0.51019
0.016,315000,0.452,0.023,0.49367
0.017,316000,0.462,0.021,0.50462
0.022,317000,0.47,0.009,0.51511
0.023,318000,0.454,0.022,0.49829
0.019,319000,0.457,0.02,0.50079
0.018,320000,0.456,0.013,0.50068
0.017,321000,0.472,0.011,0.51628
0.02,322000,0.472,0.019,0.51495
0.015,323000,0.46,0.02,0.50407
0.02,324000,0.454,0.019,0.49652
0.021,325000,0.459,0.005,0.50193
0.025,326000,0.442,0.03,0.48516
0.014,327000,0.451,0.016,0.49274
0.022,328000,0.445,-0.005,0.48477
0.02,329000,0.472,0.016,0.51624
0.019,330000,0.468,0.018,0.51276
0.022,331000,0.447,0.016,0.49292
0.022,332000,0.448,0.027,0.49324
0.023,333000,0.449,0.009,0.49447
0.019,334000,0.455,0.018,0.50042
0.026,335000,0.446,0.003,0.49138
0.017,336000,0.455,0.012,0.49979
0.026,337000,0.461,0.012,0.50783
0.024,338000,0.457,-0.003,0.50347
0.019,339000,0.464,0.028,0.51027
0.015,340000,0.456,0.001,0.49933
0.02,341000,0.471,0.005,0.51748
0.016,342000,0.463,-0.006,0.50874
0.012,343000,0.459,0.012,0.50519
0.015,344000,0.465,0.005,0.51073
0.018,345000,0.462,0.015,0.50798
0.028,346000,0.45,0.014,0.49572
0.019,347000,0.464,0.012,0.50861
0.02,348000,0.472,0.014,0.51604
0.021,349000,0.47,0.036,0.51667
0.019,350000,0.46,0.018,0.50656
0.016,351000,0.475,0.016,0.52072
0.019,352000,0.461,0.021,0.50763
0.025,353000,0.479,0.014,0.52554
0.018,354000,0.473,0.022,0.51988
0.016,355000,0.476,0.01,0.52212
0.014,356000,0.474,0.018,0.52206
0.022,357000,0.462,0.008,0.50902
0.023,358000,0.47,0.012,0.51723
0.014,359000,0.462,0.025,0.50877
0.018,360000,0.448,0.008,0.49377
0.023,361000,0.449,0.007,0.49387
0.015,362000,0.459,0.024,0.50537
0.024,363000,0.457,0.024,0.50334
0.021,364000,0.445,0.016,0.49109
0.026,365000,0.437,0.029,0.4826
0.026,366000,0.42,0.018,0.46423
0.023,367000,0.433,0.015,0.47821
0.025,368000,0.45,0.009,0.49623
0.026,369000,0.472,0.019,0.51728
0.025,370000,0.464,0.024,0.51019
0.017,371000,0.454,0.022,0.49996
0.015,372000,0.461,0.019,0.50551
0.019,373000,0.462,0.025,0.50614
0.025,374000,0.453,0.021,0.49685
0.026,375000,0.462,0.012,0.5032
0.027,376000,0.459,0.006,0.50479
0.021,377000,0.462,0.025,0.50702
0.02,378000,0.428,0.013,0.47309
0.021,379000,0.446,0.008,0.4903
0.015,380000,0.448,0.027,0.49264
0.018,381000,0.451,0.006,0.49561
0.019,382000,0.459,0.013,0.49934
0.017,383000,0.458,0.034,0.50222
0.021,384000,0.442,0.015,0.48828
0.015,385000,0.455,0.014,0.50035
0.018,386000,0.465,0.017,0.51092
0.02,387000,0.445,0.015,0.48966
0.018,388000,0.45,0.014,0.49418
0.02,389000,0.447,0.012,0.49181
0.025,390000,0.46,0.017,0.50592
0.015,391000,0.465,0.017,0.50915
0.018,392000,0.455,0.023,0.49997
0.02,393000,0.443,0.01,0.48727
0.02,394000,0.45,0.014,0.49377
0.018,395000,0.457,0.016,0.50087
0.02,396000,0.449,0.016,0.49426
0.019,397000,0.462,0.004,0.50793
0.015,398000,0.464,0.004,0.51021
0.021,399000,0.463,0.015,0.50887
0.023,400000,0.453,0.024,0.49921
0.015,401000,0.453,0.015,0.49916
0.023,402000,0.457,0.017,0.5037
0.017,403000,0.469,0.004,0.51382
0.015,404000,0.455,0.03,0.50079
0.016,405000,0.453,0.012,0.49864
0.013,406000,0.465,0.029,0.51027
0.016,407000,0.449,0.004,0.49552
0.014,408000,0.443,0.014,0.48893
0.008,409000,0.465,0.019,0.51019
0.022,410000,0.446,0.022,0.49198
0.015,411000,0.439,0.015,0.48368
0.015,412000,0.44,0.02,0.4857
0.015,413000,0.443,0.014,0.48819
0.012,414000,0.435,0.022,0.47869
0.023,415000,0.463,0.013,0.50918
0.02,416000,0.469,0.014,0.51456
0.01,417000,0.456,0.015,0.50311
0.017,418000,0.452,0.016,0.49732
0.017,419000,0.453,-0.001,0.49819
0.02,420000,0.448,0.008,0.49334
0.021,421000,0.447,0.029,0.49234
0.02,422000,0.438,0.024,0.48174
0.02,423000,0.434,0.023,0.47816
0.02,424000,0.434,0.015,0.47816
0.019,425000,0.428,0.013,0.473
0.027,426000,0.432,0.022,0.47697
0.02,427000,0.439,0.015,0.48504
0.021,428000,0.448,0.016,0.49345
0.016,429000,0.444,0.005,0.49017
0.018,430000,0.459,0.013,0.50571
0.018,431000,0.446,0.021,0.49029
0.012,432000,0.436,0.024,0.48172
0.021,433000,0.442,0.017,0.48822
0.031,434000,0.444,0.021,0.49092
0.014,435000,0.444,0.011,0.49026
0.024,436000,0.425,0.031,0.47026
0.022,437000,0.409,0.023,0.45322
0.022,438000,0.439,0.017,0.48335
0.014,439000,0.432,0.015,0.47622
0.026,440000,0.432,0.021,0.47712
0.016,441000,0.416,0.023,0.46277
0.02,442000,0.433,0.008,0.4793
0.023,443000,0.45,0.013,0.49589
0.021,444000,0.434,0.007,0.47717
0.025,445000,0.419,0.026,0.46465
0.018,446000,0.406,0.021,0.44729
0.029,447000,0.419,0.012,0.46233
0.02,448000,0.421,0.01,0.4649
0.022,449000,0.433,0.006,0.47418
0.018,450000,0.434,0.016,0.47836
0.024,451000,0.449,0.019,0.4936
0.022,452000,0.435,0.009,0.47944
0.019,453000,0.431,0.011,0.47386
0.016,454000,0.457,0.02,0.50275
0.017,455000,0.429,0.024,0.47304
0.022,456000,0.441,0.018,0.48601
0.021,457000,0.424,0.01,0.46941
0.015,458000,0.458,0.019,0.50364
0.022,459000,0.42,0.027,0.46438
0.022,460000,0.437,0.001,0.47992
0.015,461000,0.427,0.014,0.47117
0.018,462000,0.448,0.02,0.49305
0.022,463000,0.39,0.029,0.4332
0.03,464000,0.417,0.017,0.4618
0.017,465000,0.414,0.014,0.45834
0.02,466000,0.422,0.018,0.46631
0.019,467000,0.444,0.012,0.48721
0.012,468000,0.458,0.004,0.50127
0.018,469000,0.439,0.02,0.48345
0.011,470000,0.435,0.013,0.4764
0.015,471000,0.461,0.026,0.50517
0.022,472000,0.449,0.024,0.49501
0.022,473000,0.454,0.007,0.4998
0.014,474000,0.431,-0.007,0.47636
0.015,475000,0.428,0.01,0.47347
0.023,476000,0.435,0.023,0.48031
0.013,477000,0.429,0.017,0.47547
0.011,478000,0.439,0.015,0.48498
0.019,479000,0.435,0.024,0.48125
0.018,480000,0.425,0.002,0.47089
0.023,481000,0.424,0.007,0.4708
0.026,482000,0.436,0.011,0.48297
0.017,483000,0.436,0.02,0.48368
0.013,484000,0.444,0.025,0.49068
0.009,485000,0.45,0.014,0.49794
0.014,486000,0.434,0.021,0.48049
0.017,487000,0.432,0.012,0.47919
0.022,488000,0.433,0.016,0.48012
0.014,489000,0.43,0.019,0.47618
0.025,490000,0.437,0.021,0.48431
0.022,491000,0.452,0.007,0.49828
0.025,492000,0.432,0.012,0.47854
0.02,493000,0.422,0.008,0.46865
0.022,494000,0.437,0.015,0.48305
0.023,495000,0.442,0.012,0.48944
0.014,496000,0.449,0.013,0.49635
0.019,497000,0.438,0.013,0.48478
