avg_score,step_idx,avg_diff,avg_winning,loss_train
0.48354,256000,0.018,0.439,-0.001
0.49449,257000,0.021,0.451,0.013
0.4993,258000,0.025,0.455,0.007
0.48482,259000,0.021,0.439,0.009
0.47722,260000,0.03,0.432,0.015
0.46047,261000,0.022,0.416,0.015
0.5069,262000,0.02,0.462,0.019
0.47753,263000,0.025,0.434,0.009
0.54417,264000,0.015,0.501,0.023
0.51238,265000,0.018,0.469,0.011
0.50456,266000,0.026,0.468,0.011
0.47389,267000,0.022,0.43,0.018
0.49581,268000,0.014,0.454,0.025
0.4895,269000,0.027,0.445,0.011
0.52176,270000,0.019,0.478,0.022
0.51437,271000,0.022,0.473,0.015
0.50225,272000,0.022,0.458,0.028
0.50527,273000,0.017,0.461,0.012
0.49171,274000,0.023,0.448,0.029
0.50221,275000,0.022,0.46,0.021
0.49433,276000,0.024,0.455,0.015
0.46899,277000,0.016,0.424,0.015
0.52279,278000,0.022,0.48,0.004
0.4749,279000,0.028,0.432,0.001
0.49877,280000,0.027,0.455,0.015
0.45362,281000,0.025,0.409,0.013
0.50036,282000,0.017,0.456,0.009
0.51008,283000,0.026,0.468,0.019
0.5002,284000,0.016,0.456,0.015
0.50234,285000,0.021,0.459,0.015
0.49245,286000,0.017,0.454,0.001
0.49284,287000,0.022,0.448,0.013
0.51539,288000,0.017,0.47,0.016
0.50653,289000,0.024,0.462,0.019
0.49334,290000,0.013,0.45,0.013
0.48091,291000,0.028,0.438,0.008
0.48846,292000,0.025,0.445,0.011
0.50285,293000,0.011,0.46,0.008
0.49349,294000,0.019,0.448,0.007
0.4813,295000,0.026,0.437,0.016
0.50086,296000,0.018,0.455,0.017
0.52765,297000,0.017,0.483,0.014
0.52756,298000,0.018,0.483,0.019
0.51702,299000,0.023,0.484,0.004
0.49919,300000,0.02,0.455,0.02
0.52975,301000,0.02,0.487,0.015
0.48357,302000,0.016,0.437,0.009
0.47972,303000,0.031,0.434,0.012
0.53682,304000,0.021,0.496,0.011
